Rank,Gymnast,vt,ub,bb,fx,Total
1,Jordyn Wieber(USA),15.716,13.6,15.266,14.8,59.382
2,Viktoria Komova(RUS),14.933,15.4,14.683,14.333,59.349
3,Yao Jinnan(CHN),14.966,14.933,13.933,14.766,58.598
4,Aly Raisman(USA),15.233,12.9,14.525,14.9,57.558
5,Huang Qiushuang(CHN),14.733,14.966,13.633,14.1,57.432
6,Ana Porgras(ROU),14.1,14.133,15.1,13.966,57.299
7,Ksenia Afanasyeva(RUS),14.466,14.2,13.4,14.666,56.732
8,Lauren Mitchell(AUS),14.6,13.133,13.933,15.033,56.699
9,Hannah Whelan(GBR),14.4,13.258,14.333,14.133,56.124
10,Nadine Jarosch(GER),14.3,13.733,14,14,56.033
11,Elisabeth Seitz(GER),14.758,13.933,13.366,13.766,55.823
12,Vanessa Ferrari(ITA),12.733,13.833,14.466,14.5,55.532
13,Daniele Hypólito(BRA),14.3,12.866,14.333,13.866,55.365
14,Carlotta Ferlito(ITA),14.2,12.866,14.616,13.4,55.082
15,Koko Tsurumi(JPN),13.8,12.533,14.7,13.966,54.999
16,Giulia Steingruber(SUI),14.866,13.433,13.4,13.233,54.932
17,Céline van Gerner(NED),13.7,13.766,13.766,13.633,54.865
18,Raluca Haidu(ROU),13.466,13.366,14.416,13.566,54.814
19,Peng-Peng Lee(CAN),13.933,13.9,12.933,13.966,54.732
20,Rie Tanaka(JPN),14.233,13.833,13.933,12.7,54.699
21,Aurélie Malaussena(FRA),14.133,13.266,13.933,13.166,54.498
22,Ana María Izurieta(ESP),13.966,13.466,12.933,13.366,53.731
23,Emily Little(AUS),13.633,13.3,13.566,13.1,53.599
24,Jessica López(VEN),14,10.3,14.266,13.733,52.299
