0,1,2,3,4,5,6,7
Rank,Athlete,Nation,D,E,ND,Total,Average
1,Nazar Chepurnyi,Ukraine,5.6,9.366,,14.966,14.833
1,Nazar Chepurnyi,Ukraine,5.6,9.100,,14.700,14.833
2,Yang Hakseon,South Korea,6.0,9.033,-0.1,14.933,14.833
2,Yang Hakseon,South Korea,5.6,9.133,,14.733,14.833
3,Carlos Yulo,Philippines,5.6,9.133,,14.733,14.808
3,Carlos Yulo,Philippines,5.6,9.283,,14.883,14.808
4,Yonekura Hidenobu,Japan,6.0,8.933,,14.933,14.783
4,Yonekura Hidenobu,Japan,5.6,9.033,,14.633,14.783
5,Andrey Medvedev,Israel,5.6,9.000,,14.600,14.716
5,Andrey Medvedev,Israel,5.6,9.233,,14.833,14.716
6,Thomas Grasso,Italy,5.6,9.233,,14.833,14.599
6,Thomas Grasso,Italy,5.2,9.166,,14.366,14.599
7,Courtney Tulloch,Great Britain,5.6,8.933,,14.533,14.566
7,Courtney Tulloch,Great Britain,5.6,9.000,,14.600,14.566
8,William Emard,Canada,5.2,9.466,,14.666,14.533
8,William Emard,Canada,5.2,9.200,,14.400,14.533
9,Adem Asil,Turkey,6.0,8.966,,14.966,14.499
9,Adem Asil,Turkey,5.6,8.733,-0.3,14.033,14.499
10,Nicola Bartolini,Italy,5.2,9.500,,14.700,14.433
10,Nicola Bartolini,Italy,4.8,9.366,,14.166,14.433
11,Mukhammadzhon Yakubov,Russia,5.6,8.633,-0.1,14.133,14.416
11,Mukhammadzhon Yakubov,Russia,5.6,9.100,,14.700,14.416
12,Donnell Whittenburg,United States,6.0,9.133,-0.1,15.033,14.333
12,Donnell Whittenburg,United States,5.2,8.733,-0.3,13.633,14.333
13,Yahor Sharamkou,Belarus,5.6,8.966,,14.566,14.316
13,Yahor Sharamkou,Belarus,5.6,8.766,-0.3,14.066,14.316
14,Dominick Cunningham,Great Britain,5.2,9.433,,14.633,14.299
14,Dominick Cunningham,Great Britain,5.0,8.966,,13.966,14.299
15,Marian Dragulescu,Romania,5.4,9.166,,14.566,14.299
15,Marian Dragulescu,Romania,5.6,8.433,,14.033,14.299
16,Asato Keisuke,Japan,6.0,8.600,-0.3,14.300,14.233
16,Asato Keisuke,Japan,5.6,8.866,-0.3,14.166,14.233
17,Javier Rojo,Mexico,5.2,9.133,,14.333,14.166
17,Javier Rojo,Mexico,4.8,9.200,,14.000,14.166
18,Dimitar Dimitrov,Bulgaria,5.2,9.000,-0.1,14.100,14.133
18,Dimitar Dimitrov,Bulgaria,4.8,9.366,,14.166,14.133
19,Huang Mingqi,China,5.2,8.033,,13.233,14.099
19,Huang Mingqi,China,5.6,9.366,,14.966,14.099
20,Caio Souza,Brazil,5.6,9.066,,14.666,14.083
20,Caio Souza,Brazil,5.6,7.900,,13.500,14.083
21,Trinh Hai Khang,Vietnam,5.6,8.366,,13.966,14.083
21,Trinh Hai Khang,Vietnam,5.2,9.000,,14.200,14.083
22,Nicolau Mir,Spain,5.2,9.033,,14.233,14.066
22,Nicolau Mir,Spain,5.2,9.000,-0.3,13.900,14.066
23,Filip Lidbeck,Sweden,5.2,9.200,-0.1,14.300,14.050
23,Filip Lidbeck,Sweden,4.8,9.000,,13.800,14.050
24,Igor Radivilov,Ukraine,5.6,9.100,,14.700,14.033
24,Igor Radivilov,Ukraine,5.6,8.066,-0.3,13.366,14.033
25,Yogeshwar Singh,India,5.2,9.000,,14.200,14.000
25,Yogeshwar Singh,India,4.8,9.000,,13.800,14.000
26,Ondrej Kalny,Czech Republic,5.6,8.466,-0.3,13.766,13.999
26,Ondrej Kalny,Czech Republic,5.2,9.033,,14.233,13.999
27,Lee Junho,South Korea,5.6,7.900,-0.3,13.200,13.866
27,Lee Junho,South Korea,5.2,9.333,,14.533,13.866
28,Ng Ka Ki,Hong Kong,5.2,8.800,,14.000,13.866
28,Ng Ka Ki,Hong Kong,5.6,8.233,-0.1,13.733,13.866
29,Milad Karimi,Kazakhstan,5.2,8.066,-0.3,12.966,13.783
29,Milad Karimi,Kazakhstan,5.2,9.400,,14.600,13.783
30,Dilan Jimenez,Colombia,5.6,7.866,-0.1,13.366,13.766
30,Dilan Jimenez,Colombia,5.2,8.966,,14.166,13.766
31,Andrin Frey,Switzerland,5.2,8.000,,13.200,13.733
31,Andrin Frey,Switzerland,5.2,9.066,,14.266,13.733
32,Felix Remuta,Germany,5.2,7.800,-0.1,12.900,13.716
32,Felix Remuta,Germany,5.2,9.333,,14.533,13.716
33,Robert Kirmes,Finland,4.8,9.133,,13.933,13.716
33,Robert Kirmes,Finland,5.2,8.300,,13.500,13.716
34,Jose Nogueira,Portugal,4.8,9.100,,13.900,13.700
34,Jose Nogueira,Portugal,4.4,9.100,,13.500,13.700
35,Frantisek Cerny,Czech Republic,5.2,8.700,,13.900,13.700
35,Frantisek Cerny,Czech Republic,4.8,8.700,,13.500,13.700
36,Sviataslau Dranitski,Belarus,5.2,9.100,,14.300,13.566
36,Sviataslau Dranitski,Belarus,5.2,7.633,,12.833,13.566
37,Robert Tvorogal,Lithuania,4.8,9.100,-0.1,13.800,13.500
37,Robert Tvorogal,Lithuania,5.2,8.000,,13.200,13.500
38,Mustafa Arca,Turkey,4.8,8.866,,13.666,13.483
38,Mustafa Arca,Turkey,5.2,8.100,,13.300,13.483
39,Farukh Nabiyev,Kazakhstan,5.2,9.000,-0.3,13.900,13.400
