Rank,Athlete,Nation,D,E,ND,Total
1,Weng Hao,China,6.6,9,,15.6
2,Stephen Nedoroscik,United States,6.5,8.866,,15.366
3,Alec Yoder,United States,6.5,8.8,,15.3
4,Hashimoto Daiki,Japan,6.4,8.675,,15.075
5,Joshua Nathan,Great Britain,6.6,8.433,,15.033
6,Nariman Kurbanov,Kazakhstan,6.2,8.8,,15
7,Kaya Kazuma,Japan,6.6,8.333,,14.933
8,Filip Ude,Croatia,6,8.866,,14.866
9,Zhang Boheng,China,5.8,8.866,,14.666
10,Harutyun Merdinyan,Armenia,6.2,8.466,,14.666
11,Loran de Munck,Netherlands,6.3,8.266,,14.566
12,Sergei Naidin,Russia,6.2,8.333,,14.533
13,Shiao Yu-Jan,Taiwan,6.1,8.133,,14.233
14,Vladyslav Hryko,Ukraine,6.5,7.666,,14.166
15,Saso Bertoncelj,Slovenia,6.1,8.033,,14.133
16,Eyal Indig,Israel,5.8,8.266,,14.066
17,Frank Rijken,Netherlands,5.8,8.166,,13.966
18,Lee Junghyo,South Korea,6.1,7.866,,13.966
19,Zachary Clay,Canada,6.2,7.733,,13.933
20,Petro Pakhniuk,Ukraine,5.6,8.3,,13.9
21,Mateo Zugec,Croatia,5.4,8.466,,13.866
22,Nicola Bartolini,Italy,5.2,8.6,,13.8
23,Jakov Vlahek,Croatia,5.7,8.066,,13.766
24,Rhys McClenaghan,Ireland,6,7.766,,13.766
25,Vladislav Poliashov,Russia,6.1,7.666,,13.766
26,Illia Kovtun,Ukraine,6.4,7.366,,13.766
27,Gytis Chasazyrovas,Lithuania,5.3,8.4,,13.7
28,Joel Plata,Spain,5.6,8.033,,13.633
29,Krisztofer Meszaros,Hungary,5.7,7.9,,13.6
30,Alexander Myakinin,Israel,6.1,7.466,,13.566
31,Andres Martinez,Colombia,5.5,8.033,,13.533
32,Robert Kirmes,Finland,5.5,8,,13.5
33,Xheni Dyrmishi,Austria,5.7,7.766,,13.466
34,Shi Cong,China,5.9,7.566,,13.466
35,Noe Seifert,Switzerland,6,7.466,,13.466
36,Jossimar Calvo,Colombia,5.2,8.233,,13.433
37,Sofus Heggemsnes,Norway,5.3,8.066,,13.366
38,Cyril Tommasone,France,6,7.333,,13.333
39,Robert Tvorogal,Lithuania,4.9,8.333,,13.233
40,Benedek Tomcsanyi,Hungary,5.8,7.366,,13.166
41,Javier Sandoval,Colombia,5.9,7.233,,13.133
42,Maxime Gentges,Belgium,5.4,7.633,,13.033
42,Thierno Diallo,Spain,5.4,7.633,,13.033
44,Henji Mboyo,Switzerland,5.4,7.566,,12.966
45,Nestor Abad,Spain,5,7.933,,12.933
46,Ahmet Önder,Turkey,5.7,7.166,,12.866
47,Stefanos Tsolakidis,Greece,4.6,8.2,,12.8
48,Oskar Kirmes,Finland,5,7.766,,12.766
49,Luka van den Keybus,Belgium,5.4,7.3,,12.7
50,Alexander Benda,Austria,4.4,8.266,,12.666
51,Ahmed Abdelrahman,Egypt,4.5,8.166,,12.666
52,Adem Asil,Turkey,5.1,7.566,,12.666
53,Joseph Cemlyn-Jones,Great Britain,5.4,7.266,,12.666
54,Yogeshwar Singh,India,4.8,7.833,,12.633
55,Marios Georgiou,Cyprus,5.6,7,,12.6
56,Radomir Sliz,Czech Republic,5.7,6.866,,12.566
57,Noah Kuavita,Belgium,4.2,8.3,,12.5
58,Phan Ngoc Hung,Vietnam,4.5,8,,12.5
59,Tomas Kuzmickas,Lithuania,4.6,7.8,,12.4
60,Diego Neumaier,Mexico,4.7,7.7,,12.4
61,Andrin Frey,Switzerland,5.5,6.866,,12.366
62,Dario Sissakis,Germany,4.8,7.466,,12.266
63,Antonios Tantalidis,Greece,5.2,6.966,,12.166
64,Szabolcs Batori,Hungary,4.6,7.433,,12.033
65,Hung Shih-Tung,Taiwan,4.5,7.5,,12
66,Nicolo Mozzato,Italy,5.7,6.266,,11.966
67,Bae Garam,South Korea,5,6.9,,11.9
68,Ilias Georgiou,Cyprus,5,6.866,,11.866
69,Mohamed Afify,Egypt,5.3,6.566,,11.866
70,Nikita Ignatyev,Russia,5.5,6.366,,11.866
71,Valgard Reinhardsson,Iceland,3.5,8.333,,11.833
72,Ricardo Rudy,Austria,4,7.833,,11.833
73,Ricards Plate,Latvia,5.2,6.633,,11.833
74,Kim Wanström,Sweden,4.1,7.7,,11.8
75,Abhijeet Kumar,India,5.2,6.533,,11.733
76,Sviataslau Dranitski,Belarus,4.4,7.3,,11.7
77,Nikolaos Iliopoulos,Greece,4,7.666,,11.666
78,Brinn Bevan,Great Britain,4.6,7.066,,11.666
79,Milad Karimi,Kazakhstan,4.8,6.8,,11.6
80,Gagik Khachikyan,Armenia,5.9,5.7,,11.6
81,Bernardo Almeida,Portugal,4.2,7.333,,11.533
82,Van Vi Luong,Vietnam,5.2,6.3,,11.5
83,Harald Wibye,Norway,3.4,8.066,,11.466
84,Glenn Trebing,Germany,4.7,6.766,,11.466
85,Elias Koski,Finland,4,7.366,,11.366
86,Abdelrahman Abdelhaleem,Egypt,4.1,7.266,,11.366
87,Jayson Rampersad,Canada,5.7,5.633,,11.333
88,Israel Chiriboga,Ecuador,3.9,7.4,,11.3
89,Jermain Grünberg,Netherlands,4.2,7.1,,11.3
90,Carlo Hörr,Germany,5.4,5.9,,11.3
91,William Emard,Canada,4,7.233,,11.233
92,Martin Gudmundsson,Iceland,3.3,7.9,,11.2
93,Yordan Aleksandrov,Bulgaria,4.5,6.7,,11.2
94,Jose Nogueira,Portugal,3.8,7.266,,11.066
95,Ashish Kumar,India,3.9,7.1,,11
96,Nguyen Van Khanh Phong,Vietnam,3.5,7.3,,10.8
97,Teodor Trifonov,Bulgaria,4,6.733,,10.733
98,Hung Yuan-Hsi,Taiwan,4.2,6.533,,10.733
99,Frantisek Cerny,Czech Republic,3.1,7.6,,10.7
100,Lee Junho,South Korea,4.3,6.333,,10.633
101,Yul Moldauer,United States,4.6,6.033,,10.633
102,Jonas Thorisson,Iceland,3.7,6.866,,10.566
103,Caio Souza,Brazil,5.1,5.133,,10.233
104,Guilherme Campos,Portugal,3.5,6.666,,10.166
105,Ilyas Azizov,Kazakhstan,3,6.966,,9.966
106,Yazan Al Souliman,Syria,3.9,6.033,,9.933
107,Kerem Sener,Turkey,3.6,5.266,,8.866
108,Pablo Broszio,Panama,2.3,4.566,,6.866
109,Suphacheep Baobenmad,Thailand,2.8,5,-4,3.8
