Rank,Athlete,Nation,D,E,ND,Total,Average
1,Carlos Yulo,Philippines,5.6,9.2,,14.8,14.916
1,Carlos Yulo,Philippines,5.6,9.433,,15.033,14.916
2,Yonekura Hidenobu,Japan,6,9,,15,14.866
2,Yonekura Hidenobu,Japan,5.6,9.133,,14.733,14.866
3,Andrey Medvedev,Israel,5.6,8.933,,14.533,14.649
3,Andrey Medvedev,Israel,5.6,9.166,,14.766,14.649
4,Thomas Grasso,Italy,5.6,9.233,,14.833,14.549
4,Thomas Grasso,Italy,5.2,9.166,-0.1,14.266,14.549
5,Yang Hakseon,South Korea,5.6,9.166,,14.766,14.399
5,Yang Hakseon,South Korea,6,8.033,,14.033,14.399
6,Courtney Tulloch,Great Britain,5.6,8.7,,14.3,14.383
6,Courtney Tulloch,Great Britain,5.6,8.866,,14.466,14.383
7,Nazar Chepurnyi,Ukraine,5.6,9.266,,14.866,14.149
7,Nazar Chepurnyi,Ukraine,5.6,7.933,-0.1,13.433,14.149
8,William Emard,Canada,5.2,8.066,,13.266,13.199
8,William Emard,Canada,5.2,7.933,,13.133,13.199
