Rank,Athlete,Nation,D,E,ND,Total
1,Carlos Yulo,Philippines,6.4,9.166,,15.566
2,Zhang Boheng,China,6.1,9.2,,15.3
3,Hu Xuwei,China,6.3,8.933,,15.233
4,Shi Cong,China,6,9.2,,15.2
5,Hashimoto Daiki,Japan,6.2,9,,15.2
6,Yul Moldauer,United States,6.4,8.466,,14.866
7,Christian Baumann,Switzerland,6.4,8.441,,14.841
8,Kaya Kazuma,Japan,6.3,8.533,,14.833
9,Caio Souza,Brazil,6.1,8.7,,14.8
10,Marios Georgiou,Cyprus,6.3,8.5,,14.8
11,Ilias Georgiou,Cyprus,5.6,9.166,,14.766
12,Isaac Nuñez,Mexico,5.1,8.633,,14.733
13,Ahmet Önder,Turkey,6.5,8.2,,14.7
14,Illia Kovtun,Ukraine,6,8.1,,14.7
15,Petro Pakhniuk,Ukraine,6.2,8.466,,14.666
16,Milad Karimi,Kazakhstan,6,8.633,,14.633
17,Robert Tvorogal,Lithuania,5.9,8.7,,14.6
18,Harald Wibye,Norway,5.1,9.466,,14.566
19,Krisztofer Meszaros,Hungary,5.8,8.766,,14.566
20,Josue Juarez,Mexico,6,8.566,,14.566
21,Noe Seifert,Switzerland,6.2,8.366,,14.566
22,Nicolau Mir,Spain,5.9,8.566,,14.466
23,Nazar Chepurnyi,Ukraine,5.9,8.533,,14.433
24,Sergei Naidin,Russia,6.1,8.333,,14.433
25,Glenn Trebing,Germany,5.5,8.9,,14.4
26,Nicolo Mozzato,Italy,4.7,8.7,,14.4
27,Rene Cournoyer,Canada,5.8,8.6,,14.4
28,Adem Asil,Turkey,5.7,8.666,,14.366
29,Brinn Bevan,Great Britain,6.1,8.266,,14.366
30,Jermain Grünberg,Netherlands,6.1,8.233,,14.333
31,Lee Junghyo,South Korea,5.5,8.8,,14.3
32,Hung Yuan-Hsi,Taiwan,5.8,8.5,,14.3
33,Frank Rijken,Netherlands,5.7,8.433,,14.133
34,Farukh Nabiyev,Kazakhstan,5.7,8.366,,14.066
35,Luka van den Keybus,Belgium,5,9,,14
36,Oskar Kirmes,Finland,5.2,8.733,,13.933
36,Sofus Heggemsnes,Norway,5.2,8.733,,13.933
38,Henji Mboyo,Switzerland,5.9,8.033,,13.933
39,Yordan Aleksandrov,Bulgaria,5.5,8.4,,13.9
40,Jossimar Calvo,Colombia,6.7,7.166,,13.866
41,William Emard,Canada,5.2,8.633,,13.833
42,Omar Mohamed,Egypt,5.9,7.9,,13.8
43,Joel Plata,Spain,5.9,7.766,,13.666
44,Zachary Clay,Canada,5.5,8.133,,13.633
45,Israel Chiriboga,Ecuador,4.8,8.8,,13.6
46,Mohamed Afify,Egypt,5.8,7.766,,13.566
46,Nestor Abad,Spain,5.8,7.766,,13.566
48,Nikolaos Iliopoulos,Greece,5.4,8.133,,13.533
49,Vladislav Poliashov,Russia,5.9,7.633,,13.533
50,Eyal Indig,Israel,4.7,8.8,,13.5
51,Nikita Ignatyev,Russia,5.9,7.6,,13.5
