Rank,Athlete,Nation,D,E,ND,Total
1,Carlos Yulo,Philippines,6.6,8.566,,15.166
2,Nicola Bartolini,Italy,6.2,8.766,,14.966
3,Minami Kazuki,Japan,6.5,8.466,,14.966
4,Milad Karimi,Kazakhstan,6.4,8.541,,14.941
5,Hashimoto Daiki,Japan,6,8.733,,14.733
6,Ryu Sunghyun,South Korea,6.5,8.1,,14.6
7,Kaya Kazuma,Japan,5.9,8.666,,14.566
8,Hayden Skinner,Great Britain,6.5,8.066,,14.566
9,Emil Soravuo,Finland,6,8.533,,14.533
10,Yul Moldauer,United States,5.8,8.633,,14.433
11,Illia Kovtun,Ukraine,5.9,8.433,,14.333
12,Ivan Stretovich,Russia,5.8,8.466,,14.266
13,Nestor Abad,Spain,5.8,8.533,-0.1,14.233
14,Ondrej Kalny,Czech Republic,6,8.2,,14.2
15,Lee Junho,South Korea,5.9,8.266,,14.166
16,Joel Plata,Spain,5.7,8.433,,14.133
17,Zhang Boheng,China,5.8,8.333,,14.133
18,Adem Asil,Turkey,6,8.066,,14.066
19,Krisztofer Meszaros,Hungary,5.7,8.333,,14.033
20,Nazar Chepurnyi,Ukraine,5.7,8.308,,14.008
21,Nicolo Mozzato,Italy,6.1,7.9,,14
22,Luka van den Keybus,Belgium,5.6,8.366,,13.966
23,Andrin Frey,Switzerland,6.1,7.866,,13.966
23,Tikumporn Surintornta,Thailand,6.1,7.866,,13.966
25,Shiao Yu-Jan,Taiwan,5.5,8.433,,13.933
26,Ilyas Azizov,Kazakhstan,5.6,8.333,,13.933
27,Roman Vashchenko,Ukraine,5.8,8.133,,13.933
28,William Emard,Canada,6,7.9,,13.9
29,Andres Martinez,Colombia,5.7,8.166,,13.866
30,Donnell Whittenburg,United States,6.2,7.766,-0.1,13.866
31,Kim Wanström,Sweden,5.6,8.2,,13.8
32,Yahor Sharamkou,Belarus,6.3,7.466,,13.766
33,Robert Kirmes,Finland,5.9,8.133,-0.3,13.733
34,Oskar Kirmes,Finland,5.7,8.133,-0.1,13.733
35,Felix Remuta,Germany,6,7.7,,13.7
36,Caio Souza,Brazil,5.5,8.166,,13.666
37,Rene Cournoyer,Canada,5.6,8.066,,13.666
38,Ilias Georgiou,Cyprus,5.1,8.633,-0.1,13.633
39,Dario Sissakis,Germany,6,7.633,,13.633
40,Noah Kuavita,Belgium,5.5,8.1,,13.6
41,Carlo Hörr,Germany,5.5,8.066,,13.566
42,Rani Dalsgard,Denmark,5.5,8,,13.5
43,Bernardo Almeida,Portugal,5.5,8.466,,13.466
