     5.5      70      50      11       0
     5.5      70      43      19       0
     5.5      50      43      13       1
     5.5      50      35      15       1
     5.5      30      35      13       1
     5.5      30      25      11       0
     5.5       0      50      19       0
     5.5       0      25      15       1
     3.5      70      43      15       0
     3.5      70      35      11       0
     3.5      50      50      13       0
     3.5      50      35      19       0
     3.5      30      50      11       0
     3.5      30      43      15       0
     3.5       0      25      19       0
       5      70      25      15       0
       5      70      25      13       0
       5      50      50      15       1
       5      50      25      19       0
       5      30      43      19       0
       5      30      43      11       1
       5       0      50      13       1
       5       0      35      11       1
       4      70      50      19       0
       4      70      35      13       0
       4      50      43      11       0
       4      50      25      11       0
       4      30      50      15       1
       4      30      35      19       0
       4      30      25      13       0
       4       0      43      15       1
       4       0      43      13       1
     3.5       0      35      11       0
       4       0      35      11       1
       5       0      43      11       1
     5.5      70      50      19       0
     3.5       0      25      11       0
     5.5      70      50      11       0
     5.5      70      43      19       0
     5.5      50      43      13       1
     5.5      50      35      15       1
     5.5      30      35      13       1
     5.5      30      25      11       0
     5.5       0      50      19       0
     5.5       0      25      15       1
     3.5      70      43      15       0
     3.5      70      35      11       0
     3.5      50      50      13       0
     3.5      50      35      19       0
     3.5      30      50      11       0
     3.5      30      43      15       0
     3.5       0      25      19       0
       5      70      25      15       0
       5      70      25      13       0
       5      50      50      15       1
       5      50      25      19       0
       5      30      43      19       0
       5      30      43      11       1
       5       0      50      13       1
       5       0      35      11       1
       4      70      50      19       0
       4      70      35      13       0
       4      50      43      11       0
       4      50      25      11       0
       4      30      50      15       1
       4      30      35      19       0
       4      30      25      13       0
       4       0      43      15       1
       4       0      43      13       1
     3.5       0      35      11       0
       4       0      35      11       1
       5       0      43      11       1
     5.5      70      50      19       0
     3.5       0      25      11       0
