Gymnast,vault_score,vault_rank,uneven_score,uneven_rank,bb_score,bb_rank,floor_score,floor_rank,total_score,total_rank
Rebeca Andrade(BRA),15.400/14.800Avg: 15.100,3,14.2,19,13.733,18,14.066,4,57.399,2
Jade Carey(USA),15.166/15.166Avg: 15.166,2,14.133,20,12.866,41,14.1,3,56.265,9
MyKayla Skinner(USA),14.933/14.800Avg: 14.866,4,13.666,31T,13.233,27,13.566,14,55.398,11
Zsófia Kovács(HUN),14.5,0,14.433,14,13.133,29T,12.666,48T,54.732,16
Lee Yun-seo(KOR),13.4,0,14.333,16,12.841,42,12.966,30,53.54,29
Giulia Steingruber(SUI),14.833/14.300Avg: 14.566,10,12.8,53,12.6,47,13.3,23,53.533,30
Georgia Godwin(AUS),13.766,0,13.033,45,12.9,38,13.166,26,52.865,37
Elena Gerasimova(ROC),13.466,0,13.233,40,13.766,16,12.333,60T,52.798,38
Filipa Martins(POR),13.466,0,14.3,17,11.866,69,12.666,46,52.298,43
Emily Whitehead(AUS),14,0,13.066,43T,12.666,45T,12.566,52,52.298,44
Luciana Alvarado(CRC),13.433,0,12.741,55,12.966,37,12.166,66,51.306,51
Barbora Mokošová(SVK),13.333,0,13.333,38,11.7,72,12.833,37,51.199,52
Gabriela Sasnal(POL),13.600/13.366Avg: 13.483,17,12.966,48,12.433,54,11.933,73,50.932,54
Alexa Moreno(MEX),14.833/14.433Avg: 14.633,8,12.566,59,11.066,83,12.333,60T,50.798,55
Yeo Seo-jeong(KOR),15.000/14.600Avg: 14.800,5,12.5,61,10.583,87,12.566,54,50.649,56
Lihie Raz(ISR),14.233/13.566Avg: 13.899,15,11.7,70,12.066,64,12.4,59,50.399,59
Caitlin Rooskrantz(RSA),12.8,0,13.3,39,12.2,61,11.633,79,49.933,61
Diana Varinska(UKR),12.633,0,11.633,72,12.566,49,12.733,43,49.565,62
Zeina Ibrahim(EGY),13.2,0,12.5,60,11.866,70,11.7,78,49.266,64
Maria Holbură(ROU),13.166,0,11.1,80,12.7,43,12.2,65,49.166,65
Elisa Hämmerle(AUT),12.533,0,12.6,58,11.8,71,12,70,48.933,66
Mandy Mohamed(EGY),13.233,0,11.6,73,11.2,82,12.833,38,48.866,67
Farah Ann Abdul Hadi(MAS),13.166,0,11.6,74,11.566,76,12.233,64,48.565,68
Abigail Magistrati(ARG),13.366,0,11.533,79,11.233,81,12.133,67,48.265,69
Marina Nekrasova(AZE),13.133/12.200Avg: 12.666,19,10.833,83,12.266,58,12,71,48.232,70
Nazlı Savranbaşı(TUR),12.9,0,11.933,67,11.033,85,11.933,74,47.799,71
Megan Ryan(IRL),13.2,0,11.533,76,10.466,88,12,72,47.199,72
Aneta Holasová(CZE),12.566,0,11.533,77,11.933,68,11.1,80,47.132,73
Ariana Orrego(PER),13.433,0,9.466,85,12.066,65,12.066,68,47.031,74
Simona Castro(CHI),13.2,0,11.533,78,11.433,79,10.233,85,46.399,75
Naveen Daries(RSA),13.300/12.666Avg: 12.983,18,12.366,62,8.933,90,11.766,77,46.365,76
Hanna Traukova(BLR),12.6,0,11.966,65,10.833,86,10.833,81,46.232,77
Milka Gehani(SRI),13.366,0,10.866,82,11.266,80,10.3,84,45.798,78
Pranati Nayak(IND),13.466,0,9.033,86,9.433,89,10.633,83,42.565,79
Raegan Rutty(CAY),12.133,0,8.566,87,8.283,91,10.633,82,39.615,80
Flávia Saraiva(BRA),0,0,0,0,13.966,9,12.066,69,0,0
Lara Mori(ITA),0,0,0,0,12.133,62,13.4,19,0,0
Ting Hua-tien(TPE),0,0,12.233,63,12.566,50,0,0,0,0
Ana Đerek(CRO),0,0,0,0,11.633,74,12.433,58,0,0
Tan Sze En(SGP),0,0,0,0,11.033,84,11.833,75,0,0
Anastasia Ilyankova(ROC),0,0,14.966,3,0,0,0,0,0,0
Guan Chenchen(CHN),0,0,0,0,14.933,1,0,0,0,0
Fan Yilin(CHN),0,0,14.6,9,0,0,0,0,0,0
Jonna Adlerteg(SWE),0,0,14.533,12,0,0,0,0,0,0
Oksana Chusovitina(UZB),14.500/13.833Avg: 14.166,14,0,0,0,0,0,0,0,0
Marcia Vidiaux(CUB),14.166/12.833Avg: 13.499,16,0,0,0,0,0,0,0,0
Larisa Iordache(ROU),0,0,0,0,14.133,4,0,0,0,0
Urara Ashikawa(JPN),0,0,0,0,13.9,12,0,0,0,0
Julie Erichsen(NOR),0,0,11.566,75,0,0,0,0,0,0
Danusia Francis(JAM),0,0,3.033,88,0,0,0,0,0,0
