rank,team,vault,unevenbars,bb,floor,Total,Country
1,Lilia Akhaimova,14.733,0.0,0.0,0.0,14.733,ROC
1,Viktoria Listunova,0.0,14.9,14.333,14.166,43.399,ROC
1,Angelina Melnikova,14.6,14.933,12.566,13.966,56.065000000000005,ROC
1,Vladislava Urazova,14.466,14.866,12.633,13.366,55.331,ROC
2,Simone Biles,13.766,0.0,0.0,0.0,13.766,USA
2,Jordan Chiles,14.666,14.166,13.433,11.7,53.965,USA
2,Sunisa Lee,0.0,15.4,14.133,13.666,43.199,USA
2,Grace McCallum,14.3,13.7,13.666,13.5,55.166,USA
3,Jennifer Gadirova,14.433,0.0,13.3,13.7,41.433,GBR
3,Jessica Gadirova,14.433,13.566,0.0,13.833,41.832,GBR
3,Alice Kinsella,14.266,14.166,13.333,12.8,54.565,GBR
3,Amelie Morgan,0.0,14.033,12.233,0.0,26.266,GBR
4,Alice D'Amato,14.166,14.166,13.133,13.1,54.565000000000005,ITA
4,Asia D'Amato,14.266,13.9,12.9,13.166,54.232,ITA
4,Vanessa Ferrari,14.233,0.0,0.0,14.1,28.333,ITA
4,Martina Maggio,0.0,13.433,13.075,0.0,26.508,ITA
5,Hitomi Hatakeda,0.0,14.1,13.333,12.8,40.233000000000004,JPN
5,Yuna Hiraiwa,13.9,0.0,13.566,0.0,27.466,JPN
5,Mai Murakami,14.266,12.7,13.833,14.066,54.865,JPN
5,Aiko Sugihara,14.183,13.333,0.0,13.2,40.715999999999994,JPN
6,Marine Boyer,0.0,0.0,12.066,13.0,25.066000000000003,FRA
6,Mélanie de Jesus dos Santos,14.5,14.2,13.566,13.7,55.965999999999994,FRA
6,Aline Friess,14.9,13.733,0.0,0.0,28.633000000000003,FRA
6,Carolann Héduit,14.2,13.466,12.833,13.1,53.599,FRA
7,Lu Yufei,0.0,13.333,13.966,13.166,40.465,CHN
7,Ou Yushan,12.7,13.233,0.0,0.0,25.933,CHN
7,Tang Xijing,12.6,14.5,13.733,12.866,53.699,CHN
7,Zhang Jin,14.066,0.0,13.9,13.133,41.099000000000004,CHN
8,Maellyse Brassart,14.033,0.0,10.933,0.0,24.966,BEL
8,Nina Derwael,0.0,15.4,13.866,13.366,42.632,BEL
8,Lisa Vaelen,14.233,13.766,0.0,12.9,40.899,BEL
8,Jutta Verkest,13.466,12.466,12.2,13.066,51.198,BEL
