Rank,Athlete,Nation,D,E,ND,Total
1,Zhao Shiting,China,5.3,7.6,,12.9
2,Mana Oguchi,Japan,5,7.733,,12.733
3,Emma Nedov,Australia,5.4,7.266,,12.666
4,Elena Chipizubov,Australia,5.3,7.066,,12.366
5,Valeriia Osipova,Ukraine,5.5,6.766,,12.266
6,Oksana Chusovitina,Uzbekistan,4.5,7.666,,12.166
7,Eom Do-hyun,South Korea,5.1,6.933,,12.033
8,Lai Pin-Ju,Chinese Taipei,5.1,6.7,,11.8
9,Ting Hua-Tien,Chinese Taipei,5.3,6.3,,11.6
10,Vanessa Ferrari,Italy,4.6,6.733,-0.1,11.233
11,Aida Bauyrzhanova,Kazakhstan,5.1,6.066,,11.166
