Rank,Team,vt,ub,bb,fx,Total
1,United States,46.866(1),46.499(1),45.533(1),45.999(1),184.897
,Simone Biles(USA),15.933,14.8,15.3,15.8,61.833
,Aly Raisman(USA),15.833,,15,15.366,46.199
,Laurie Hernandez(USA),15.1,,15.233,14.833,45.166
,Madison Kocian(USA),,15.933,,,15.933
,Gabby Douglas(USA),,15.766,,,15.766
2,Russia,45.733(2),46.166(2),42.757(5),42.032(5),176.688
,Aliya Mustafina(RUS),15.133,15.933,14.958,14,60.024
,Angelina Melnikova(RUS),14.9,15.133,13.033,14.266,57.332
,Seda Tutkhalyan(RUS),,,14.766,13.766,28.532
,Maria Paseka(RUS),15.7,,,,15.7
,Daria Spiridonova(RUS),,15.1,,,15.1
3,China,44.332(6),45.007(4),44.598(2),42.066(4),176.003
,Shang Chunsong(CHN),,14.333,15.066,14.7,44.099
,Wang Yan(CHN),14.733,,14.466,14.733,43.932
,Fan Yilin(CHN),,15.733,15.066,,30.799
,Tan Jiaxin(CHN),14.766,14.941,,,29.707
,Mao Yi(CHN),14.833,,,12.633,27.466
4,Japan,44.832(4),44.466(6),42.599(6),42.474(3),174.371
,Asuka Teramoto(JPN),14.933,14.866,14.466,,44.265
,Mai Murakami(JPN),14.833,,13.833,14.466,43.132
,Aiko Sugihara(JPN),,14.6,14.3,14.1,43
,Sae Miyakawa(JPN),15.066,,,13.908,28.974
,Yuki Uchiyama(JPN),,15,,,15
5,Great Britain,44.766(5),44.866(5),41.965(8),42.765(2),174.362
,Ellie Downie(GBR),15.133,14.633,13.366,14.133,57.265
,Claudia Fragapane(GBR),14.7,,14.433,14.166,43.299
,Becky Downie(GBR),,15.4,14.166,,29.566
,Amy Tinkler(GBR),14.933,,,14.466,29.399
,Ruby Harrold(GBR),,14.833,,,14.833
6,Germany,42.999(8),45.899(3),43.100(4),41.674(7),173.672
,Elisabeth Seitz(GER),,15.533,14,13.833,43.366
,Pauline Schäfer(GER),14.266,,14.5,14.375,43.141
,Tabea Alt(GER),14.8,,14.6,,29.4
,Sophie Scheder(GER),13.933,15.466,,,29.399
,Kim Bui(GER),,14.9,,13.466,28.366
7,Netherlands,43.033(7),43.666(7),44.082(3),41.666(8),172.447
,Eythora Thorsdottir(NED),15,14.733,14.566,13.9,58.199
,Lieke Wevers(NED),13.933,,14.266,13.833,42.032
,Sanne Wevers(NED),,14.533,15.25,,29.783
,Céline van Gerner(NED),,14.4,,13.933,28.333
,Vera van Pol(NED),14.1,,,,14.1
8,Brazil,44.899(3),43.457(8),41.999(7),41.732(6),172.087
,Jade Barbosa(BRA),14.933,14.391,13.033,14.266,56.623
,Rebeca Andrade(BRA),15.4,14.9,,12.966,43.266
,Flávia Saraiva(BRA),,,14.833,14.5,29.333
,Lorrane Oliveira(BRA),14.566,14.166,,,28.732
,Daniele Hypólito(BRA),,,14.133,,14.133
