Name,VT,UB,BB,FX,AA,year
Skye Blakely,14.55,13.6,14.25,13.3,55.7,2021
Skye Blakely,14.7,12.95,12.75,13.45,53.85,2021
Skye Blakely,14.0,14.05,12.65,13.3,54.0,2021
Skye Blakely,13.85,14.1,14.3,13.1,55.35,2021
Skye Blakely,14.2,13.45,13.55,13.45,54.65,2022
Skye Blakely,14.3,13.9,12.95,13.45,54.6,2022
Skye Blakely,14.1,13.85,13.45,13.3,54.7,2022
Skye Blakely,13.867,13.9,13.067,13.1,53.934,2022
Skye Blakely,13.433,13.933,12.3,13.267,52.933,2022
Skye Blakely,14.0,13.4,14.3,13.55,55.25,2022
Skye Blakely,14.266,12.0,12.9,13.366,52.532,2022
Skye Blakely,13.8,13.15,13.5,13.25,53.7,2022
Skye Blakely,14.25,14.4,14.2,12.2,55.05,2023
Skye Blakely,14.35,14.4,14.05,12.9,55.7,2023
