Name,VT,UB,BB,FX,AA,year
Leanne Wong,14.341,14.066,13.9,14.033,56.34,2021
Leanne Wong,14.366,13.683,13.7,14.0,55.749,2021
Leanne Wong,14.25,12.25,13.1,13.8,53.4,2021
Leanne Wong,14.7,13.8,14.0,14.233,56.733,2021
Leanne Wong,14.7,13.666,11.5,13.933,53.799,2021
Leanne Wong,14.55,14.0,12.7,13.6,54.85,2021
Leanne Wong,14.75,12.7,13.65,14.2,55.3,2021
Leanne Wong,14.2,11.9,14.45,13.55,54.1,2021
Leanne Wong,14.4,14.15,12.95,12.95,54.45,2021
Leanne Wong,14.8,12.7,13.7,13.9,55.1,2021
Leanne Wong,14.15,13.8,12.85,12.45,53.25,2022
Leanne Wong,14.4,12.85,13.55,13.6,54.4,2022
Leanne Wong,14.05,14.0,13.7,14.0,55.75,2023
Leanne Wong,14.25,14.0,13.75,13.35,55.35,2023
Leanne Wong,14.15,13.75,12.7,13.5,54.1,2023
Leanne Wong,13.6,12.85,12.6,12.45,51.5,2023
