Name,VT,UB,BB,FX,AA,year
Kayla DiCello,14.6,12.766,13.4,13.8,54.566,2021
Kayla DiCello,14.5,13.9,13.5,13.8,55.7,2021
Kayla DiCello,14.55,13.95,13.25,13.6,55.35,2021
Kayla DiCello,14.833,12.8,13.8,13.5,54.933,2021
Kayla DiCello,14.6,13.966,13.766,13.966,56.298,2021
Kayla DiCello,14.4,13.55,12.55,14.05,54.55,2021
Kayla DiCello,14.65,12.9,12.65,14.05,54.25,2021
Kayla DiCello,14.35,14.6,13.3,13.85,56.1,2021
Kayla DiCello,14.8,13.15,14.05,13.85,55.85,2021
Kayla DiCello,14.3,13.5,13.55,13.65,55.0,2022
Kayla DiCello,14.2,14.1,13.8,13.85,55.95,2022
Kayla DiCello,13.167,13.6,11.733,13.467,51.967,2022
Kayla DiCello,12.55,13.7,11.3,13.7,51.25,2022
Kayla DiCello,14.1,13.8,12.75,13.75,54.4,2023
Kayla DiCello,14.0,12.3,11.7,13.5,51.5,2023
Kayla DiCello,13.4,12.2,13.2,13.15,51.95,2023
