Name,VT,UB,BB,FX,AA,year
Shilese Jones,14.9,12.9,13.3,13.533,54.633,2021
Shilese Jones,14.9,13.166,13.533,13.4,54.999,2021
Shilese Jones,15.0,14.4,11.75,13.25,54.4,2021
Shilese Jones,14.85,14.3,12.45,12.5,54.1,2021
Shilese Jones,14.55,14.4,13.2,12.95,55.1,2021
Shilese Jones,14.233,14.366,13.1,13.7,55.399,2022
Shilese Jones,14.2,14.566,13.2,13.8,55.766,2022
Shilese Jones,14.5,14.5,13.6,14.1,56.7,2022
Shilese Jones,14.5,13.6,12.45,14.25,54.8,2022
Shilese Jones,14.55,14.85,13.7,14.1,57.2,2022
Shilese Jones,14.4,14.5,11.5,13.65,54.05,2022
Shilese Jones,14.033,14.133,13.467,12.1,53.733,2022
Shilese Jones,14.3,14.15,12.4,13.7,54.55,2022
Shilese Jones,14.4,15.0,14.3,14.1,57.8,2023
Shilese Jones,14.35,14.9,13.45,14.05,56.75,2023
