Name,VT,UB,BB,FX,AA,year
Tiana Sumanasekera,14.4,10.0,12.15,13.0,49.55,2021
Tiana Sumanasekera,14.3,11.25,13.8,11.9,51.25,2021
Tiana Sumanasekera,13.85,10.85,13.4,12.05,50.15,2021
Tiana Sumanasekera,13.95,10.95,12.25,13.15,50.3,2021
Tiana Sumanasekera,13.65,10.65,12.45,13.05,49.8,2021
Tiana Sumanasekera,14.0,10.25,13.35,13.6,51.2,2022
Tiana Sumanasekera,14.15,10.95,12.6,13.55,51.25,2022
Tiana Sumanasekera,14.1,10.467,13.7,13.3,51.567,2022
Tiana Sumanasekera,14.15,11.65,13.25,13.65,52.7,2022
Tiana Sumanasekera,13.867,11.933,13.633,13.067,52.5,2022
Tiana Sumanasekera,12.5,11.4,13.75,13.4,51.05,2022
Tiana Sumanasekera,13.7,9.5,13.85,13.35,50.4,2022
Tiana Sumanasekera,14.2,11.55,13.85,13.15,52.75,2023
Tiana Sumanasekera,14.1,12.8,13.3,12.95,53.15,2023
Tiana Sumanasekera,14.15,11.55,13.5,12.9,52.1,2023
Tiana Sumanasekera,14.0,12.45,13.6,13.2,53.25,2023
Tiana Sumanasekera,13.933,12.633,13.737,13.567,53.9,2023
Tiana Sumanasekera,14.25,12.9,13.45,13.1,53.7,2023
