Name,VT,UB,BB,FX,AA,year
Nola Matthews,12.95,12.5,12.1,11.95,49.5,2021
Nola Matthews,13.4,11.9,13.2,10.55,49.05,2021
Nola Matthews,13.6,13.05,11.8,11.85,50.3,2021
Nola Matthews,12.8,11.7,13.1,12.2,49.8,2021
Nola Matthews,13.5,11.5,13.65,12.6,51.25,2021
Nola Matthews,12.95,13.15,12.1,12.35,50.55,2021
Nola Matthews,12.9,12.55,12.45,13.05,50.95,2022
Nola Matthews,12.95,14.05,12.5,12.2,51.7,2022
Nola Matthews,13.1,13.75,11.95,12.35,51.15,2022
Nola Matthews,13.0,13.9,12.5,11.7,51.1,2022
Nola Matthews,13.1,13.85,11.75,12.1,50.8,2022
Nola Matthews,12.65,12.2,12.15,12.5,49.5,2022
Nola Matthews,12.85,13.95,13.05,12.8,52.65,2022
Nola Matthews,12.4,13.15,12.55,12.65,50.75,2022
Nola Matthews,13.2,14.05,12.45,13.2,52.9,2023
Nola Matthews,13.15,12.4,13.0,13.4,51.95,2023
Nola Matthews,13.05,13.9,13.3,13.3,53.55,2023
Nola Matthews,12.9,13.6,13.15,13.15,52.8,2023
Nola Matthews,12.9,14.0,12.7,12.667,52.267,2023
Nola Matthews,13.3,14.05,13.5,13.35,54.2,2023
Nola Matthews,13.1,13.65,13.2,12.9,52.85,2023
Nola Matthews,13.25,13.45,12.7,13.2,52.6,2023
Nola Matthews,13.25,13.35,12.1,13.1,51.8,2023
