Name,VT,UB,BB,FX,AA,year
Joscelyn Roberson,14.15,11.7,13.65,11.9,51.4,2021
Joscelyn Roberson,14.3,12.15,13.55,13.1,53.1,2021
Joscelyn Roberson,14.35,10.6,13.25,13.1,51.3,2021
Joscelyn Roberson,14.1,11.35,12.6,13.25,51.3,2021
Joscelyn Roberson,13.55,10.95,13.8,12.85,51.15,2021
Joscelyn Roberson,13.2,11.45,13.2,12.9,50.75,2021
Joscelyn Roberson,12.8,11.1,11.75,12.75,48.4,2021
Joscelyn Roberson,13.8,11.2,11.95,12.95,49.9,2022
Joscelyn Roberson,13.75,10.9,13.25,12.85,50.75,2022
Joscelyn Roberson,14.0,10.55,12.3,12.7,49.55,2022
Joscelyn Roberson,13.35,10.95,10.55,12.45,47.3,2022
Joscelyn Roberson,13.4,11.15,12.85,13.2,50.6,2022
Joscelyn Roberson,12.9,9.75,13.4,12.65,48.7,2022
Joscelyn Roberson,14.55,11.8,13.2,13.6,53.15,2023
Joscelyn Roberson,14.65,11.8,13.2,13.3,52.95,2023
Joscelyn Roberson,14.65,11.1,14.3,14.0,54.05,2023
Joscelyn Roberson,14.25,12.9,13.0,14.0,54.15,2023
Joscelyn Roberson,14.2,13.0,12.5,14.15,53.85,2023
Joscelyn Roberson,14,10.85,13.3,13.55,51.7,2023
