Name,VT,UB,BB,FX,AA,year
Jordan Chiles,14.666,14.166,13.433,11.7,53.965,2021
Jordan Chiles,14.7,12.866,11.566,13.566,52.698,2021
Jordan Chiles,14.933,14.433,13.9,14.233,57.499,2021
Jordan Chiles,14.966,14.3,14.233,13.633,57.132,2021
Jordan Chiles,14.9,14.6,14.05,14.0,57.55,2021
Jordan Chiles,14.95,14.45,13.95,13.55,56.9,2021
Jordan Chiles,14.95,14.15,14.05,13.95,57.1,2021
Jordan Chiles,14.9,14.05,14.5,13.6,57.05,2021
Jordan Chiles,14.85,14.4,14.3,11.9,55.45,2021
Jordan Chiles,14.4,14.1,13.333,14.0,55.833,2022
Jordan Chiles,14.466,14.066,11.366,14.1,53.998,2022
Jordan Chiles,14.2,14.35,13.3,14.25,56.1,2022
Jordan Chiles,14.3,14.1,13.45,13.9,55.75,2022
Jordan Chiles,14.35,14.25,13.6,13.95,56.15,2022
Jordan Chiles,14.25,12.95,12.1,13.85,53.15,2023
Jordan Chiles,14.3,14.2,13.0,13.1,54.6,2023
