iter	MultiClass
0	1.005185302
1	0.9526195839
2	0.9026287274
3	0.88452722
4	0.8572228931
5	0.8309292905
6	0.8139862294
7	0.7742261085
8	0.7555202587
9	0.737672959
10	0.7214102473
11	0.6856754367
12	0.6760918093
13	0.6606975785
14	0.6464267121
15	0.6212408295
16	0.6148660361
17	0.5827536555
18	0.5701952769
19	0.5611956785
20	0.5419608636
21	0.5349710489
22	0.5268534154
23	0.5192351099
24	0.5082080584
25	0.4980546727
26	0.4934682607
27	0.485433938
28	0.482849816
29	0.4732679251
30	0.4692141358
31	0.4587977595
32	0.4567899886
33	0.4438810052
34	0.4331336128
35	0.4256280592
36	0.4225826621
37	0.4149653701
38	0.4053275622
39	0.3993731682
40	0.3910079741
41	0.3840544534
42	0.3778941253
43	0.3719765645
44	0.363582603
45	0.3539892448
46	0.3515896725
47	0.3438175915
48	0.3422174029
49	0.336199853
50	0.3239469971
51	0.3209302858
52	0.3145335006
53	0.3076621822
54	0.304335495
55	0.2992151444
56	0.294095152
57	0.288053147
58	0.279927502
59	0.2761198688
60	0.2728410993
61	0.2692394398
62	0.264818178
63	0.2606993478
64	0.2553875529
65	0.2507563621
66	0.2485833628
67	0.2446793053
68	0.2430976234
69	0.2408284297
70	0.2388715308
71	0.2363055736
72	0.2325901846
73	0.2311054382
74	0.2291492506
75	0.2262693532
76	0.2217243163
77	0.2180032632
78	0.2122555146
79	0.209096095
80	0.1993154106
81	0.196832734
82	0.1937029473
83	0.1891568799
84	0.1875232782
85	0.1851645244
86	0.1830046917
87	0.1800222639
88	0.17524087
89	0.173584451
90	0.1710356929
91	0.169161658
92	0.1682743008
93	0.1636678435
94	0.1627294182
95	0.1605851627
96	0.1586116844
97	0.1571205928
98	0.155090865
99	0.1526224026
100	0.1496877121
101	0.1468231956
102	0.1426227923
103	0.1398506754
104	0.1379973782
105	0.1350360566
106	0.1324712077
107	0.1315878756
108	0.1308464063
109	0.1300977178
110	0.1286505944
111	0.1267791914
112	0.1254593025
113	0.1240661796
114	0.1219075787
115	0.118682188
116	0.1173993742
117	0.1152725746
118	0.113399402
119	0.1124843385
120	0.1109643504
121	0.1089845328
122	0.1074600077
123	0.1061196424
124	0.1053590706
125	0.1043376656
126	0.10236902
127	0.1009574996
128	0.09925282513
129	0.09836502608
130	0.09660907257
131	0.09595384695
132	0.09539130902
133	0.09441702586
134	0.09365328913
135	0.09311109795
136	0.09202871172
137	0.09082016157
138	0.09023566275
139	0.08991354343
140	0.08880756031
141	0.08813400429
142	0.08575179768
143	0.08495412717
144	0.08464540718
145	0.08431810231
146	0.08225893267
147	0.08161823269
148	0.08058917992
149	0.07933497678
150	0.07884147839
151	0.07803163112
152	0.07625699469
153	0.07555213339
154	0.07429444608
155	0.07360262585
156	0.07326247535
157	0.07229830944
158	0.07131724486
159	0.07020305641
160	0.06932529502
161	0.06844520021
162	0.06739651087
163	0.06704268074
164	0.06607416154
165	0.0651033783
166	0.06471448884
167	0.06395245187
168	0.06356727063
169	0.06253436652
170	0.06196180523
171	0.06164938124
172	0.06070365463
173	0.06038899071
174	0.06002594466
175	0.05972912355
176	0.05884744761
177	0.05820457971
178	0.0577465401
179	0.05743769159
180	0.05728555691
181	0.05693363304
182	0.05585624514
183	0.05535654123
184	0.05484923276
185	0.05436138841
186	0.05324988262
187	0.05260628889
188	0.05246672482
189	0.05207509091
190	0.05190475801
191	0.05162661322
192	0.05072778459
193	0.04989210666
194	0.04970011231
195	0.04857877829
196	0.04792257269
197	0.04744571943
198	0.04687415505
199	0.04636698637
200	0.04577798394
201	0.04536238076
202	0.04525346615
203	0.04502153581
204	0.04484422007
205	0.04444694484
206	0.0434544038
207	0.04302295227
208	0.04233591414
209	0.0416855212
210	0.04121382913
211	0.04101911671
212	0.04058008502
213	0.04010044292
214	0.03975837498
215	0.03953509731
216	0.03923699555
217	0.03899636872
218	0.03863759683
219	0.0383678684
220	0.03803122515
221	0.0379055176
222	0.03769306772
223	0.03710046487
224	0.03673622945
225	0.03627683453
226	0.03616416207
227	0.03584381369
228	0.03562309123
229	0.03533591574
230	0.03520652674
231	0.03496449978
232	0.03465420038
233	0.03423227355
234	0.03375834656
235	0.03340749006
236	0.03300134891
237	0.03248639828
238	0.03245190347
239	0.03225457153
240	0.03203900408
241	0.0316928071
242	0.0314837827
243	0.03126560888
244	0.03078065554
245	0.03059526026
246	0.03039247348
247	0.03016654063
248	0.03005004714
249	0.0297285213
250	0.029515962
251	0.02899238469
252	0.02885774466
253	0.02872319538
254	0.0284889408
255	0.02838162015
256	0.02815829813
257	0.02811945685
258	0.0279494845
259	0.02787856973
260	0.02746875971
261	0.0272673338
262	0.02702266383
263	0.02692727892
264	0.0267266612
265	0.02649085576
266	0.02634542311
267	0.02630901094
268	0.0260616264
269	0.02585239916
270	0.02568276446
271	0.02560763021
272	0.02550418562
273	0.02533696855
274	0.02518640064
275	0.02511776405
276	0.02504236013
277	0.02489517243
278	0.02471060795
279	0.02447668726
280	0.02425084735
281	0.02402532098
282	0.02394467193
283	0.02373708446
284	0.0235216113
285	0.02340615907
286	0.02314825807
287	0.02302265456
288	0.02287631031
289	0.02277306769
290	0.02268095834
291	0.02266535025
292	0.0226277263
293	0.02249738445
294	0.02235669007
295	0.02225091725
296	0.02209817158
297	0.02192421701
298	0.02179648311
299	0.0216836084
300	0.02152682972
301	0.02142128635
302	0.02132143881
303	0.02123190637
304	0.02087388424
305	0.02075311713
306	0.02061659662
307	0.02036690485
308	0.02018433399
309	0.02002018486
310	0.01995800137
311	0.01989440597
312	0.01984780476
313	0.01974940745
314	0.01970859409
315	0.01953002144
316	0.01948172689
317	0.01946855954
318	0.01933921397
319	0.01907979909
320	0.01907522706
321	0.01898921039
322	0.01880429822
323	0.01872758268
324	0.01857653589
325	0.01853048938
326	0.01845741887
327	0.0183373829
328	0.01821910647
329	0.01809178292
330	0.01801675798
331	0.01794861957
332	0.01782395436
333	0.01770774713
334	0.01761097033
335	0.01755942554
336	0.01738629395
337	0.01732305613
338	0.01718491354
339	0.01713395033
340	0.01702667533
341	0.01688215441
342	0.01677258287
343	0.01663942597
344	0.01648642108
345	0.01640898405
346	0.01632912686
347	0.01621679491
348	0.01612255334
349	0.01601730185
350	0.0159166466
351	0.01579902926
352	0.01570830017
353	0.0155749186
354	0.01548159123
355	0.01533458869
356	0.0152627604
357	0.01522763314
358	0.01509408724
359	0.01504493393
360	0.0149853694
