Rank,Athlete,Nation,VT,UB,BB,FX,AA,round,year
1,simone biles,USA,15.066,14.733,14.8,14.833,59.432,qual,2019
2,sunisa lee,USA,14.566,15,13.4,14.2,57.166,qual,2019
3,melanie de jesus dos santos,FRA,14.6,14.6,13.616,13.966,56.782,qual,2019
4,angelina melnikova,RUS,14.433,14.7,13.366,14.1,56.599,qual,2019
5,grace mccallum,USA,14.566,14.641,12.933,13.766,55.906,qual,2019
6,liu tingting,CHN,13.566,14.766,14.3,13.233,55.865,qual,2019
7,li shijia,CHN,14.466,14.166,14.5,12.6,55.732,qual,2019
8,nina derwael,BEL,13.5,15.141,13.2,13.6,55.441,qual,2019
9,ellie black,CAN,14.2,14.266,13.533,13.2,55.199,qual,2019
10,elisabeth seitz,none,14.6,14.8,12.833,12.766,54.999,qual,2019
11,flavia saraiva,BRA,14.566,12.833,13.7,13.833,54.932,qual,2019
12,lilia akhaimova,RUS,14.733,13.366,12.9,13.933,54.932,qual,2019
13,giorgia villa,ITA,14.666,14.3,12.533,12.9,54.399,qual,2019
14,sarah voss,none,14.366,13.766,13.6,12.4,54.132,qual,2019
15,alice kinsella,none,14.3,13.966,13.433,12.433,54.132,qual,2019
16,asuka teramoto,JPN,14.633,13.966,12.966,12.566,54.131,qual,2019
17,aline friess,FRA,15,13.566,12.7,12.733,53.999,qual,2019
18,anastasia agafonova,RUS,13.4,14.7,13.033,12.666,53.799,qual,2019
19,giulia steingruber,SUI,15.066,12.4,12.766,13.5,53.732,qual,2019
20,elisa iorio,ITA,14.366,14.133,12.633,12.4,53.532,qual,2019
21,tang xijing,CHN,14.266,14.633,11.733,12.866,53.498,qual,2019
22,georgia godwin,AUS,13.866,13.566,12.866,13.033,53.331,qual,2019
23,hitomi hatakeda,JPN,14.033,13.733,12.966,12.5,53.232,qual,2019
24,naomi visser,NED,13.933,13.466,12.466,13.366,53.231,qual,2019
25,brooklyn moors,CAN,13.9,13.333,12.133,13.566,52.932,qual,2019
26,diana varinska,UKR,13.5,13.733,12.966,12.7,52.899,qual,2019
27,cintia rodriguez,ESP,13.533,13.866,12.6,12.8,52.799,qual,2019
28,lee yunseo,SKR,13.333,14.133,12.433,12.6,52.499,qual,2019
29,asia d’amato,ITA,14.5,14,11.833,12.1,52.433,qual,2019
30,zsofia kovacs,HUN,14.433,14.2,11.566,12.233,52.432,qual,2019
31,martina dominici,ARG,14.2,13.3,12.366,12.566,52.432,qual,2019
32,ana perez,ESP,13.666,13.833,11.5,13.2,52.199,qual,2019
33,yeo seojeong,SKR,14.933,12.366,11.833,13.066,52.198,qual,2019
34,eythora thorsdottir,NED,14.4,11.466,13.333,12.966,52.165,qual,2019
35,anastasiia bachynska,UKR,13.866,13.1,11.966,13.233,52.165,qual,2019
36,abigail magistrati,ARG,14.4,12.866,12,12.766,52.032,qual,2019
37,georgia-mae fenton,none,13.533,14.333,11.566,12.5,51.932,qual,2019
38,ellie downie,none,14.466,12.666,12.366,12.433,51.931,qual,2019
39,victoria-kayen woo,CAN,13.5,13.5,12.3,12.5,51.8,qual,2019
40,alexa moreno,MEX,14.9,12.666,11.9,12.3,51.766,qual,2019
41,ilaria käslin,SUI,13.6,12.966,12.466,12.466,51.498,qual,2019
42,roxana popa,ESP,13.766,13.991,9.9,13.8,51.457,qual,2019
43,maellyse brassart,BEL,13.6,13.133,11.733,12.766,51.232,qual,2019
44,bianka schermann,HUN,13.366,13.966,11.266,12.6,51.198,qual,2019
45,lieke wevers,NED,13.733,13.9,10.366,13.033,51.032,qual,2019
46,thais fidelis,BRA,13.633,12.733,12.833,11.833,51.032,qual,2019
47,danusia francis,JAM,13.5,12.35,12.566,12.566,50.982,qual,2019
48,emma nedov,AUS,13.533,12.8,13.1,11.466,50.899,qual,2019
49,angelina radivilova,UKR,13.566,12.966,11.3,13.066,50.898,qual,2019
50,kim su jong,none,14.2,12.933,11.1,12.633,50.866,qual,2019
51,aneta holasova,CZE,13.533,12.233,12.733,12.366,50.766,qual,2019
52,emelie petz,none,13.766,13.233,11.533,12.166,50.698,qual,2019
53,marcia vidiaux,CUB,14.366,11.8,11.733,12.733,50.632,qual,2019
54,maria holbura,ROU,13.3,12.233,12.733,12.366,50.632,qual,2019
55,elisa hämmerle,AUT,13.333,12.866,11.933,12.4,50.532,qual,2019
56,ioana crisan,ROU,13.833,12.666,11.733,12.066,50.298,qual,2019
57,anastasiya alistratava,BLR,12.9,14.066,10.5,12.6,50.066,qual,2019
58,anapaula gutierrez,MEX,14.133,12.666,10.933,12.266,49.998,qual,2019
59,farah ann abdul hadi,MAS,13.433,12.833,11.066,12.566,49.898,qual,2019
60,mandy mohamed,EGY,13.466,12.366,11.466,12.533,49.831,qual,2019
61,nazli savranbasi,TUR,13.433,12.633,11.733,12,49.799,qual,2019
62,agustina pisos,ARG,13.533,12.666,11.466,12.1,49.765,qual,2019
63,barbora mokosova,SVK,13.5,13.1,11.366,11.766,49.732,qual,2019
64,jasmin mader,AUT,13.433,12.666,11.733,11.9,49.732,qual,2019
65,filipa martins,POR,13.533,12.233,11.966,11.966,49.698,qual,2019
66,an chang ok,none,13.1,13.033,11,12.4,49.533,qual,2019
67,ana derek,CRO,13.433,10.6,12.4,13.033,49.466,qual,2019
68,caitlin rooskrantz,RSA,13.233,13.1,11.3,11.833,49.466,qual,2019
69,dorina böczögö,HUN,13.566,11.633,11.366,12.866,49.431,qual,2019
70,naveen daries,RSA,13.133,12.3,12.1,11.866,49.399,qual,2019
71,carmen ghiciuc,ROU,13.366,11.466,12.6,11.966,49.398,qual,2019
72,kim son hyang,none,14.033,12.266,10.533,12.5,49.332,qual,2019
73,eom dohyun,SKR,12.5,11.933,12.333,12.566,49.332,qual,2019
74,ana lago,MEX,13.633,12.333,11.433,11.8,49.199,qual,2019
75,jonna adlerteg,SWE,13.433,12.7,11.033,11.933,49.099,qual,2019
76,göksu üctas sanli,TUR,13.333,10.8,11.933,13,49.066,qual,2019
77,denisa golgota,ROU,14.033,12.2,11.833,11,49.066,qual,2019
78,stefanie siegenthaler,SUI,12.933,12.633,11.933,11.533,49.032,qual,2019
79,gabriela janik,POL,13.666,12.633,10.233,12.3,48.832,qual,2019
79,leticia costa,BRA,13.633,11.3,11.233,12.633,48.799,qual,2019
80,farah salem,EGY,13.533,12.133,11.4,11.633,48.699,qual,2019
81,simona castro,CHI,13.4,12.133,10.841,12.233,48.607,qual,2019
82,lihie raz,ISR,13.433,11.333,11.5,12.333,48.599,qual,2019
