Rank,Athlete,Nation,VT,UB,BB,FX,AA,round,year
1,rebeca andrade,BRA,15.066,14.666,13.4,14.2,57.332,qual,2022
2,shilese jones,USA,14.2,14.566,13.2,13.8,55.766,qual,2022
3,jade carey,USA,14.6,13.333,13.133,14.066,55.132,qual,2022
4,martina maggio,ITA,14.2,14.2,12.9,13.5,54.8,qual,2022
5,jessica gadirova,none,14.4,13.166,12.933,14.1,54.599,qual,2022
6,ou yushan,CHN,13.0,14.166,13.9,13.4,54.466,qual,2022
7,alice d’amato,ITA,14.233,14.4,12.133,13.6,54.366,qual,2022
8,miyata shoko,JPN,14.3,12.566,13.7,13.6,54.166,qual,2022
9,naomi visser,NED,13.366,14.4,12.733,13.666,54.165,qual,2022
10,flavia saraiva,BRA,13.833,13.2,12.9,14.2,54.133,qual,2022
11,ellie black,CAN,13.666,13.933,13.266,13.266,54.131,qual,2022
12,jordan chiles,USA,14.466,14.066,11.366,14.1,53.998,qual,2022
13,mélanie de jesus dos santos,FRA,13.666,14.4,12.533,13.266,53.865,qual,2022
14,alice kinsella,none,14.266,14.166,13.066,12.3,53.798,qual,2022
15,ondine achampong,none,14.466,12.833,12.966,13.333,53.598,qual,2022
16,georgia godwin,AUS,13.6,13.333,13.0,12.933,52.866,qual,2022
17,tang xijing,CHN,13.0,14.333,12.466,13.066,52.865,qual,2022
18,carolann heduit,FRA,14.033,13.466,12.033,13.166,52.698,qual,2022
19,yamada chiharu,JPN,13.233,13.666,12.466,13.1,52.465,qual,2022
20,lisa vaelen,BEL,13.966,12.566,12.7,13.2,52.432,qual,2022
21,tisha volleman,NED,13.2,13.4,12.533,13.2,52.333,qual,2022
22,aline friess,FRA,13.666,13.233,12.266,13.1,52.265,qual,2022
23,ana barbosu,ROU,13.0,13.433,12.5,13.3,52.233,qual,2022
24,laura casabuena,ESP,13.2,12.666,12.966,13.2,52.032,qual,2022
25,lee yunseo,SKR,12.8,13.2,12.733,13.1,51.833,qual,2022
26,manila esposito,ITA,13.566,13.966,10.8,13.466,51.798,qual,2022
27,eythora thorsdottir,NED,13.8,13.833,11.666,12.466,51.765,qual,2022
28,romi brown,AUS,13.166,13.566,12.266,12.733,51.731,qual,2022
29,maisa kuusikko,FIN,13.233,12.866,12.066,13.066,51.231,qual,2022
30,maellyse brassart,BEL,13.3,12.666,11.833,12.9,50.699,qual,2022
31,karina schönmaier,none,13.4,12.7,11.933,12.6,50.633,qual,2022
32,natalia escalera,MEX,12.966,12.966,11.6,12.833,50.365,qual,2022
