Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Zhao Shiting,CHN,5.0,8.566,0.0,13.566,final,2019
2,Emma Nedov,AUS,5.4,8.1,0.0,13.5,final,2019
3,Mana Oguchi,JPN,5.1,7.966,0.0,13.066,final,2019
4,Elena Chipizubov,AUS,5.1,7.933,0.0,13.033,final,2019
5,Lai Pin-Ju,TPE,5.1,7.333,0.0,12.433,final,2019
6,Eom Do-hyun,KOR,5.1,7.3,0.0,12.4,final,2019
7,Valeriia Osipova,UKR,5.2,6.033,0.0,11.233,final,2019
8,Oksana Chusovitina,UZB,4.5,6.033,0.0,10.533,final,2019
1,Zhao Shiting,CHN,5.3,7.6,0.0,12.9,qual,2019
2,Mana Oguchi,JPN,5.0,7.733,0.0,12.733,qual,2019
3,Emma Nedov,AUS,5.4,7.266,0.0,12.666,qual,2019
4,Elena Chipizubov,AUS,5.3,7.066,0.0,12.366,qual,2019
5,Valeriia Osipova,UKR,5.5,6.766,0.0,12.266,qual,2019
6,Oksana Chusovitina,UZB,4.5,7.666,0.0,12.166,qual,2019
7,Eom Do-hyun,KOR,5.1,6.933,0.0,12.033,qual,2019
8,Lai Pin-Ju,TPE,5.1,6.7,0.0,11.8,qual,2019
9,Ting Hua-Tien,TPE,5.3,6.3,0.0,11.6,qual,2019
10,Vanessa Ferrari,ITA,4.6,6.733,-0.1,11.233,qual,2019
11,Aida Bauyrzhanova,KAZ,5.1,6.066,0.0,11.166,qual,2019
