Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Yu Minobe,JPN,5.8,8.2,0.0,14.0,final,2015
2,Polina Fedorova,RUS,5.7,8.033,0.0,13.733,final,2015
3,Filipa Martins,POR,5.1,8.266,0.0,13.366,final,2015
4,Dilnoza Abdusalimova,UZB,5.3,8.066,-0.1,13.266,final,2015
5,Emma Nedov,AUS,5.9,6.933,-0.1,12.733,final,2015
6,Eum Dayeon,KOR,5.1,7.233,0.0,12.333,final,2015
7,Park Jisoo,KOR,5.7,6.0,0.0,11.7,final,2015
8,Natsumi Sasada,JPN,5.6,5.3,-0.1,10.8,final,2015
1,Natsumi Sasada,JPN,6.1,8.15,0.0,14.25,qual,2015
2,Emma Nedov,AUS,6.2,7.9,-0.1,14.0,qual,2015
3,Polina Fedorova,RUS,5.8,8.05,0.0,13.85,qual,2015
4,Yu Minobe,JPN,5.9,7.9,0.0,13.8,qual,2015
5,Park Jisoo,KOR,5.8,7.85,0.0,13.65,qual,2015
6,Filipa Martins,POR,5.5,8.05,0.0,13.55,qual,2015
7,Dilnoza Abdusalimova,UZB,5.4,8.2,-0.1,13.5,qual,2015
8,Eum Dayeon,KOR,5.1,8.1,0.0,13.2,qual,2015
9,Heo Seonmi,KOR,5.3,7.6,0.0,12.9,qual,2015
10,Tan Ing Yueh,MAS,4.8,8.0,0.0,12.8,qual,2015
11,Kelly Simm,GBR,5.6,7.15,0.0,12.75,qual,2015
12,Ekaterina Kramarenko,RUS,5.2,7.45,0.0,12.65,qual,2015
13,Claudia Cummins,RSA,5.1,7.5,0.0,12.6,qual,2015
14,Asuka Teramoto,JPN,5.7,6.9,0.0,12.6,qual,2015
15,Farah Ann Abdul Hadi,MAS,5.0,7.5,0.0,12.5,qual,2015
16,Sakura Yumoto,JPN,5.8,6.45,0.0,12.25,qual,2015
17,Simone Penker,AUT,4.8,7.35,0.0,12.15,qual,2015
18,Park Eunkyung,KOR,4.9,7.25,0.0,12.15,qual,2015
19,Carmen Horvat,SLO,4.2,7.9,0.0,12.1,qual,2015
20,Tracie Ang,MAS,5.4,6.7,0.0,12.1,qual,2015
21,Daria Elizarova,RUS,5.9,6.25,-0.1,12.05,qual,2015
22,Mary-Anne Monckton,AUS,5.9,6.15,0.0,12.05,qual,2015
23,Alla Sidorenko,RUS,5.1,6.7,0.0,11.8,qual,2015
24,Sofie Bråten,NOR,4.8,6.9,0.0,11.7,qual,2015
25,Elisabeth Geurts,NED,4.5,7.1,0.0,11.6,qual,2015
26,Nur Eli Ellina Azmi,MAS,5.0,6.35,0.0,11.35,qual,2015
27,Jordan Rae,NZL,5.2,6.0,0.0,11.2,qual,2015
28,Georgia-Rose Brown,AUS,4.3,6.8,0.0,11.1,qual,2015
29,Mariana Vazquez,MEX,4.7,6.05,0.0,10.75,qual,2015
30,Tiril Døvre,NOR,4.3,5.65,-0.1,9.85,qual,2015
