Rank,Athlete,Nation,D,E,ND,Total,Average,year,round,D2,E2,ND2,Total2
1,Boglarka Devai,HUN,6.0,8.733,-0.1,14.633,14.349,2021,final,0,0,0,0
1,Boglarka Devai,HUN,5.4,8.966,-0.3,14.066,14.349,2021,final,0,0,0,0
2,Angelina Melnikova,RUS,5.4,9.166,0.0,14.566,14.233,2021,final,0,0,0,0
2,Angelina Melnikova,RUS,5.2,8.8,-0.1,13.9,14.233,2021,final,0,0,0,0
3,Denisa Golgota,ROU,5.4,9.1,0.0,14.5,14.166,2021,final,0,0,0,0
3,Denisa Golgota,ROU,4.8,9.033,0.0,13.833,14.166,2021,final,0,0,0,0
4,Sarah Voss,GER,5.4,9.033,0.0,14.433,14.083,2021,final,0,0,0,0
4,Sarah Voss,GER,4.8,8.933,0.0,13.733,14.083,2021,final,0,0,0,0
5,Lilia Akhaimova,RUS,5.8,8.566,0.0,14.366,14.066,2021,final,0,0,0,0
5,Lilia Akhaimova,RUS,4.8,8.966,0.0,13.766,14.066,2021,final,0,0,0,0
6,Coline Devillard,FRA,5.8,8.966,0.0,14.766,13.933,2021,final,0,0,0,0
6,Coline Devillard,FRA,5.4,7.7,0.0,13.1,13.933,2021,final,0,0,0,0
7,Tisha Volleman,NED,5.4,8.533,0.0,13.933,13.799,2021,final,0,0,0,0
7,Tisha Volleman,NED,4.8,8.866,0.0,13.666,13.799,2021,final,0,0,0,0
8,Teja Belak,SLO,5.4,7.666,0.0,13.066,13.533,2021,final,0,0,0,0
8,Teja Belak,SLO,5.0,9.0,0.0,14.0,13.533,2021,final,0,0,0,0
