Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Nina Derwael,BEL,5.3,8.466,0.0,13.766,final,2019
2,Angelina Melnikova,RUS,5.3,8.3,0.0,13.6,final,2019
3,Diana Varinska,UKR,5.2,7.9,0.0,13.1,final,2019
4,Denisa Golgota,ROU,5.2,7.733,0.0,12.933,final,2019
5,Georgia-Mae Fenton,GBR,5.2,7.6,0.0,12.8,final,2019
6,Lorette Charpy,FRA,5.6,5.966,0.0,11.566,final,2019
1,Nina Derwael,BEL,5.3,8.3,0.0,13.6,qual,2019
2,Lorette Charpy,FRA,5.5,7.9,0.0,13.4,qual,2019
3,Angelina Melnikova,RUS,5.1,8.033,0.0,13.133,qual,2019
4,Denisa Golgota,ROU,5.0,7.966,0.0,12.966,qual,2019
5,Diana Varinska,UKR,5.2,7.733,0.0,12.933,qual,2019
6,Georgia-Mae Fenton,GBR,5.2,7.7,0.0,12.9,qual,2019
7,Anastasiia Bachynska,UKR,5.7,7.1,0.0,12.8,qual,2019
8,Adela Sajn,SLO,5.1,7.533,0.0,12.633,qual,2019
9,Angelina Radivilova,UKR,5.5,7.0,0.0,12.5,qual,2019
10,Aneta Holasova,CZE,5.0,7.333,0.0,12.333,qual,2019
11,Anastasiya Alistratava,BLR,5.2,7.033,0.0,12.233,qual,2019
12,Aline Friess,FRA,4.8,7.4,0.0,12.2,qual,2019
13,Filipa Martins,POR,5.0,7.2,0.0,12.2,qual,2019
14,Dominika Ponizilova,CZE,4.3,7.866,0.0,12.166,qual,2019
15,Gabriela Janik,POL,4.7,7.4,0.0,12.1,qual,2019
16,Cintia Rodriguez,ESP,4.9,7.166,0.0,12.066,qual,2019
17,Marina Nekrasova,AZE,5.3,6.666,0.0,11.966,qual,2019
18,Jessica Castles,SWE,5.0,6.833,0.0,11.833,qual,2019
18,Elvira Katsali,GRE,5.0,6.833,0.0,11.833,qual,2019
20,Emma Slevin,IRE,5.0,6.733,0.0,11.733,qual,2019
21,Becky Downie,GBR,4.5,7.166,0.0,11.666,qual,2019
22,Senna Deriks,BEL,4.9,6.6,0.0,11.5,qual,2019
23,Elina Vihrova,LAT,5.2,6.3,0.0,11.5,qual,2019
24,Aleksandra Shchekoldina,RUS,5.2,6.266,0.0,11.466,qual,2019
25,Chiara Bunce,SVK,4.8,6.6,0.0,11.4,qual,2019
26,Naomi Visser,NED,5.1,6.3,0.0,11.4,qual,2019
27,Tjasa Kysselef,SLO,3.9,7.266,0.0,11.166,qual,2019
28,Nazli Savranbasi,TUR,4.6,6.4,0.0,11.0,qual,2019
29,Bianka Schermann,HUN,5.1,5.9,0.0,11.0,qual,2019
30,Carolann Heduit,FRA,4.9,6.033,0.0,10.933,qual,2019
31,Celeste Mordenti,LUX,4.0,6.866,0.0,10.866,qual,2019
32,Agnes Suto-Tuuha,ISL,3.8,7.0,0.0,10.8,qual,2019
33,Ganna Metelitsa,BLR,4.9,5.8,0.0,10.7,qual,2019
34,Bianca Frysak,AUT,4.8,5.766,0.0,10.566,qual,2019
35,Zoja Szekely,HUN,4.8,5.6,0.0,10.4,qual,2019
36,Laney Madsen,BUL,4.9,5.366,0.0,10.266,qual,2019
37,Ofir Netzer,ISR,4.3,5.0,0.0,9.3,qual,2019
38,Laura de Witt,NED,4.9,3.9,0.0,8.8,qual,2019
