Rank,Athlete,Nation,D,E,ND,Total
1,Anna Dementyeva,Russia,5.8,8.2,,14
2,Silvia Colussi Pelaez,Spain,5.5,7.95,,13.45
3,Maegan Chant,Canada,5.7,7.75,,13.45
4,Noel van Klaveren,Netherlands,5.2,7.95,,13.15
5,Filipa Martins,Portugal,4.7,7.9,,12.6
6,Jessica Lopez,Venezuela,4.8,7.8,,12.6
7,Jasmin Mader,Austria,4.9,7.7,,12.6
8,Cagla Akyol,Germany,5.2,7.6,-0.3,12.5
9,Jana Sikulova,Czech Republic,4.8,7.65,-0.1,12.35
10,Ida Gustafsson,Sweden,5.1,7.25,,12.35
11,Evgeniya Shelgunova,Russia,5.4,7,-0.3,12.1
12,Ekaterina Kislinskaya,Portugal,4.7,7.35,-0.1,11.95
13,Oksana Chusovitina,Uzbekistan,5,7.05,-0.1,11.95
14,Maija Leinonen,Finland,4.6,7.3,,11.9
15,Barbora Mokosova,Slovakia,4.4,7.45,,11.85
16,Dilnoza Abdusalimova,Uzbekistan,4.4,7.45,,11.85
17,Eliana Gonzalez,Venezuela,4.8,7,-0.2,11.6
18,Sara Metzger,Switzerland,4.5,7.35,-0.4,11.45
19,Anna Geidt,Kazakhstan,4.8,6.65,-0.3,11.15
20,Emma Lunn,Ireland,4.6,6.55,,11.15
21,Paula Mejias,Puerto Rico,5.2,6.05,-0.1,11.15
22,Roxana Popa,Spain,5.2,5.85,,11.05
23,Nancy Mohamed Taman,Egypt,5,6,-0.1,10.9
24,Ang Tracie,Malaysia,4.8,5.75,,10.55
25,Mai Ahmed Saad,Egypt,5,5.6,-0.4,10.2
26,Paula Tiitta,Finland,4.7,6,-0.7,10
