Rank,Athlete,Nation,D,E,ND,Total,round,year,NOC
1,Jade Carey,United States,6.2,8.266,0.0,14.466,Final,2019,USA
2,Lara Mori,Italy,5.6,7.833,0.0,13.433,Final,2019,ITA
3,Vanessa Ferrari,Italy,5.2,8.1,0.0,13.3,Final,2019,ITA
4,Marta Pihan-Kulesza,Poland,5.4,7.933,-0.1,13.233,Final,2019,POL
5,Marine Boyer,France,5.0,8.2,0.0,13.2,Final,2019,FRA
6,Varvara Zubova,Russia,5.1,8.0,0.0,13.1,Final,2019,RUS
7,Kim Bui,Germany,5.2,7.833,0.0,13.033,Final,2019,GER
8,Coline Devillard,France,4.8,7.9,-0.3,12.4,Final,2019,FRA
1,Jade Carey,United States,5.9,8.2,-0.1,14.0,Qual,2019,USA
2,Marine Boyer,France,5.0,8.2,0.0,13.2,Qual,2019,FRA
3,Kim Bui,Germany,5.2,8.0,0.0,13.2,Qual,2019,GER
4,Lara Mori,Italy,5.3,7.866,0.0,13.166,Qual,2019,ITA
5,Varvara Zubova,Russia,5.1,7.966,0.0,13.066,Qual,2019,RUS
6,Marta Pihan-Kulesza,Poland,5.2,7.933,-0.1,13.033,Qual,2019,POL
7,Vanessa Ferrari,Italy,5.3,7.833,-0.1,13.033,Qual,2019,ITA
8,Coline Devillard,France,4.8,8.033,0.0,12.833,Qual,2019,FRA
9,Phoebe Jakubczyk,Great Britain,5.0,7.833,0.0,12.833,Qual,2019,GBR
10,Diana Varinska,Ukraine,4.7,8.066,0.0,12.766,Qual,2019,UKR
11,Emily Thomas,Great Britain,4.8,7.966,0.0,12.766,Qual,2019,GBR
12,Ana Derek,Croatia,5.0,7.833,-0.1,12.733,Qual,2019,CRO
13,Nazli Savranbasi,Turkey,5.0,7.6,0.0,12.6,Qual,2019,TUR
14,Paula Mejias,Puerto Rico,5.1,7.466,-0.1,12.466,Qual,2019,PUR
15,Aneta Holasova,Czech Republic,4.7,7.833,-0.1,12.433,Qual,2019,CZE
16,Adela Sajn,Slovenia,4.4,8.0,0.0,12.4,Qual,2019,SLO
17,Kim Son Hyang,North Korea,5.3,7.2,-0.1,12.4,Qual,2019,PRK
18,Yumika Nakamura,Japan,4.6,7.766,0.0,12.366,Qual,2019,JPN
19,Soyoka Hanawa,Japan,4.8,7.466,0.0,12.266,Qual,2019,JPN
20,Zhao Shiting,China,5.1,7.1,0.0,12.2,Qual,2019,CHN
21,Lai Pin-Ju,Chinese Taipei,4.7,7.3,0.0,12.0,Qual,2019,TPE
22,An Chang Ok,North Korea,5.0,6.933,0.0,11.933,Qual,2019,PRK
23,Csenge Bacskay,Hungary,4.4,7.433,-0.1,11.733,Qual,2019,HUN
24,Demet Mutlu,Turkey,4.6,6.9,0.0,11.5,Qual,2019,TUR
25,Wu Sing-Fen,Chinese Taipei,4.1,7.366,0.0,11.466,Qual,2019,TPE
26,Ominakhon Khalilova,Uzbekistan,4.6,7.166,-0.3,11.466,Qual,2019,UZB
27,Lucie Jirikova,Czech Republic,4.7,6.5,0.0,11.2,Qual,2019,CZE
28,Gabriela Janik,Poland,4.5,6.933,-0.3,11.133,Qual,2019,POL
29,Marina Nekrasova,Azerbaijan,4.1,6.666,0.0,10.766,Qual,2019,AZE
30,Marcia Vidiaux,Cuba,2.5,7.5,-0.1,9.9,Qual,2019,CUB
