Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Polina Fedorova,RUS,5.8,8.4,0.0,14.2,final,2015
2,Daria Elizarova,RUS,5.6,8.533,0.0,14.133,final,2015
3,Kelly Simm,GBR,5.8,8.166,0.0,13.966,final,2015
4,Asuka Teramoto,JPN,5.4,8.133,0.0,13.533,final,2015
5,Natsumi Sasada,JPN,5.4,8.033,0.0,13.433,final,2015
6,Farah Ann Abdul Hadi,MAS,5.1,8.3,0.0,13.4,final,2015
7,Dilnoza Abdusalimova,UZB,5.1,8.166,0.0,13.266,final,2015
8,Filipa Martins,POR,5.4,7.266,0.0,12.666,final,2015
1,Polina Fedorova,RUS,5.9,8.2,0.0,14.1,qual,2015
2,Kelly Simm,GBR,5.8,8.1,0.0,13.9,qual,2015
3,Daria Elizarova,RUS,5.6,8.3,-0.1,13.8,qual,2015
4,Asuka Teramoto,JPN,5.5,8.2,0.0,13.7,qual,2015
5,Farah Ann Abdul Hadi,MAS,5.3,8.25,0.0,13.55,qual,2015
6,Filipa Martins,POR,5.5,8.05,0.0,13.55,qual,2015
7,Natsumi Sasada,JPN,5.4,8.1,0.0,13.5,qual,2015
8,Alla Sidorenko,RUS,5.5,8.0,0.0,13.5,qual,2015
9,Wakana Inoue,JPN,5.2,8.15,0.0,13.35,qual,2015
10,Park Jisoo,KOR,5.2,8.05,0.0,13.25,qual,2015
11,Dilnoza Abdusalimova,UZB,5.2,8.0,0.0,13.2,qual,2015
12,Maria Paseka,RUS,4.6,8.4,0.0,13.0,qual,2015
13,Heo Seonmi,KOR,5.1,7.9,0.0,13.0,qual,2015
14,Claudia Cummins,RSA,4.9,8.0,0.0,12.9,qual,2015
15,Sakura Yumoto,JPN,4.9,8.05,-0.1,12.85,qual,2015
16,Eum Dayeon,KOR,4.9,7.9,0.0,12.8,qual,2015
17,Park Eunkyung,KOR,4.9,7.8,0.0,12.7,qual,2015
18,Tan Ing Yueh,MAS,4.6,8.05,0.0,12.65,qual,2015
19,Emma Nedov,AUS,4.9,7.9,-0.4,12.4,qual,2015
20,Tracie Ang,MAS,4.9,7.8,-0.3,12.4,qual,2015
21,Mariana Vazquez,MEX,4.9,7.375,0.0,12.275,qual,2015
22,Simone Penker,AUT,4.4,7.7,0.0,12.1,qual,2015
23,Nur Eli Ellina Azmi,MAS,4.7,7.55,-0.3,11.95,qual,2015
24,Sofie Bråten,NOR,4.6,7.45,-0.2,11.85,qual,2015
25,Tiril Døvre,NOR,4.3,7.25,0.0,11.55,qual,2015
26,Carmen Horvat,SLO,3.8,7.5,0.0,11.3,qual,2015
27,Elisabeth Geurts,NED,3.9,7.4,-0.3,11.0,qual,2015
28,Jordan Rae,NZL,1.1,8.25,-6.0,3.35,qual,2015
