Rank,Athlete,Nation,D,E,ND,Total,year,round
1,Angelina Melnikova,RUS,6.2,8.3,0.0,14.5,2021,final
2,Vladislava Urazova,RUS,6.1,8.233,0.0,14.333,2021,final
3,Amelie Morgan,GBR,5.8,8.3,0.0,14.1,2021,final
4,Giorgia Villa,ITA,5.7,8.3,0.0,14.0,2021,final
5,Alice D’Amato,ITA,5.9,7.8,0.0,13.7,2021,final
6,Jonna Adlerteg,SWE,6.0,7.666,0.0,13.666,2021,final
7,Elisabeth Seitz,GER,6.0,7.033,0.0,13.033,2021,final
8,Filipa Martins,POR,5.8,5.533,0.0,11.333,2021,final
1,Angelina Melnikova,RUS,6.2,8.425,,14.625,2021,qual
2,Vladislava Urazova,RUS,6.1,8.4,,14.5,2021,qual
3,Elisabeth Seitz,GER,6.2,8.033,,14.233,2021,qual
4,Viktoria Listunova,UKR,6.0,8.166,,14.166,2021,qual
4,Filipa Martins,POR,6.0,8.166,,14.166,2021,qual
6,Jonna Adlerteg,SWE,6.0,8.0,,14.0,2021,qual
7,Giorgia Villa,ITA,5.7,8.266,,13.966,2021,qual
8,Amelie Morgan,GBR,5.8,8.166,,13.966,2021,qual
9,Alice D’Amato,ITA,5.9,8.066,,13.966,2021,qual
10,Fien Enghels,BEL,5.6,8.3,,13.9,2021,qual
11,Elena Gerasimova,RUS,5.9,7.9,,13.8,2021,qual
12,Jessica Gadirova,GBR,5.4,8.3,,13.7,2021,qual
13,Diana Varinska,UKR,5.6,8.066,,13.666,2021,qual
14,Kim Bui,GER,5.9,7.733,,13.633,2021,qual
15,Martina Maggio,ITA,5.8,7.766,,13.566,2021,qual
15,Maisa Kuusikko,FIN,5.8,7.766,,13.566,2021,qual
17,Carolann Heduit,ITA,5.9,7.566,,13.466,2021,qual
18,Larisa Iordache,ROU,6.0,7.466,,13.466,2021,qual
19,Barbora Mokosova,SVK,5.5,7.9,,13.4,2021,qual
20,Yelyzaveta Hubareva,UKR,5.7,7.6,,13.3,2021,qual
21,Vanessa Ferrari,ITA,5.4,7.866,,13.266,2021,qual
22,Lieke Wevers,NED,5.1,8.133,,13.233,2021,qual
23,Alice Kinsella,GBR,5.8,7.366,,13.166,2021,qual
24,Noémie Louon,BEL,5.3,7.833,,13.133,2021,qual
25,Marine Boyer,FRA,4.9,8.2,,13.1,2021,qual
26,Mélanie De Jesus Dos Santos,FRA,6.1,7.0,,13.1,2021,qual
27,Tonya Paulsson,SWE,4.9,8.066,,12.966,2021,qual
28,Ganna Metelitsa,BLR,5.6,7.366,,12.966,2021,qual
29,Emma Slevin,IRL,5.0,7.933,,12.933,2021,qual
30,Jutta Verkest,BEL,5.2,7.733,,12.933,2021,qual
31,Giulia Steingruber,SUI,5.1,7.7,,12.8,2021,qual
32,Ada Hautala,FIN,4.9,7.866,,12.766,2021,qual
33,Elina Vihrova,LAT,5.1,7.6,,12.7,2021,qual
34,Emelie Westlund,SWE,4.4,8.133,,12.533,2021,qual
35,Antonia Duta,ROU,5.1,7.4,,12.5,2021,qual
36,Anastasiya Alistratava,BLR,5.0,7.466,,12.466,2021,qual
37,Csenge Bacskay,HUN,5.0,7.4,,12.4,2021,qual
38,Lucija Hribar,SLO,4.4,7.866,,12.266,2021,qual
39,Jasmin Mader,AUT,4.8,7.466,,12.266,2021,qual
40,Emma Malewski,GER,5.0,7.233,,12.233,2021,qual
41,Stefanie Siegenthaler,SUI,4.7,7.5,,12.2,2021,qual
42,Tisha Volleman,NED,4.8,7.4,,12.2,2021,qual
43,Iida Haapala,FIN,5.0,7.166,,12.166,2021,qual
44,Anastasiia Bachynska,UKR,5.5,6.633,,12.133,2021,qual
45,Lihie Raz,ISR,4.7,7.366,,12.066,2021,qual
46,Marta Pihan-Kulesza,POL,5.4,6.666,,12.066,2021,qual
47,Zsofia Kovacs,HUN,5.7,6.333,,12.033,2021,qual
48,Lilli Habisreutinger,SUI,4.4,7.6,,12.0,2021,qual
49,Celeste Mordenti,LUX,4.3,7.666,,11.966,2021,qual
50,Lea Bernards,FIN,4.5,7.466,,11.966,2021,qual
51,Naomi Visser,NED,5.0,6.933,,11.933,2021,qual
52,Sheyen Petit,FRA,5.2,6.7,,11.9,2021,qual
53,Camille Rasmussen,DEN,4.2,7.666,,11.866,2021,qual
54,Anastasiya Smantsar,BLR,4.7,7.166,,11.866,2021,qual
55,Anina Wildi,SUI,4.2,7.633,,11.833,2021,qual
56,Zoja Szekely,HUN,5.0,6.833,,11.833,2021,qual
57,Margaux Daveloose,BEL,5.2,6.633,,11.833,2021,qual
58,Ofir Netzer,ISR,4.8,6.966,,11.766,2021,qual
59,Emilia Kulczynska,POL,4.3,7.425,,11.725,2021,qual
60,Francisca Cancela,POR,3.4,8.066,,11.466,2021,qual
61,Phoebe Jakubczyk,GBR,5.4,6.066,,11.466,2021,qual
62,Aneta Holasova,CZE,4.3,7.066,,11.366,2021,qual
63,Göksu Üctas Sanli,TUR,4.4,6.866,,11.266,2021,qual
64,Nazli Savranbasi,TUR,5.4,5.833,,11.233,2021,qual
65,Christina Zwicker,CRO,4.1,7.1,,11.2,2021,qual
66,Megan Ryan,IRL,4.0,7.133,,11.133,2021,qual
67,Freja Petersen,DEN,4.0,7.1,,11.1,2021,qual
68,Gudrun Hardardottir,ISL,3.9,7.133,,11.033,2021,qual
69,Anastasiia Motak,UKR,5.2,5.8,,11.0,2021,qual
70,Nanna Gudmundsdottir,ISL,3.0,7.966,,10.966,2021,qual
71,Mali Neurauter,NOR,3.5,7.466,,10.966,2021,qual
72,Marlies Männersdorfer,AUT,4.8,6.1,,10.9,2021,qual
73,Brygida Urbanska,POL,3.5,7.133,,10.633,2021,qual
74,Marija Ribalcenko,LAT,4.3,6.3,,10.6,2021,qual
75,Edel Fosse,NOR,4.3,6.2,,10.5,2021,qual
76,Magdalini Tsiori,GRE,5.9,4.533,,10.433,2021,qual
77,Lara Crnjac,SLO,4.2,6.2,,10.4,2021,qual
78,Juliane Tøssebro,NOR,3.9,6.466,,10.366,2021,qual
79,Astrid Breckmann,DEN,3.9,6.266,,10.166,2021,qual
80,Elvira Katsali,GRE,3.6,6.433,,10.033,2021,qual
81,Margret Kristinsdottir,ISL,3.3,6.666,,9.966,2021,qual
82,Hildur Gudmundsdottir,ISL,2.5,7.366,,9.866,2021,qual
83,Bilge Tarhan,TUR,4.5,5.35,,9.85,2021,qual
84,Agata Vostruchovaite,LTU,3.4,6.433,,9.833,2021,qual
85,Maria Ceplinschi,ROU,4.1,5.7,,9.8,2021,qual
86,Beatriz Cardoso,POR,4.2,5.566,,9.766,2021,qual
87,Rafaela Ferreira,POR,3.4,6.266,,9.666,2021,qual
88,Julie Søderstrøm,NOR,4.2,5.366,,9.566,2021,qual
89,Milana Minakovskaya,AZE,4.5,5.0,,9.5,2021,qual
90,Lola Schleich,LUX,4.1,5.1,,9.2,2021,qual
91,Illy Ezra,ISR,4.4,4.733,,9.133,2021,qual
92,Anna Locmele,LAT,2.2,6.733,,8.933,2021,qual
93,Chrysa Balami,GRE,3.6,5.433,-0.3,8.733,2021,qual
94,Arina Olenova,LAT,2.0,6.708,,8.708,2021,qual
95,Cemre Kendirci,TUR,4.1,4.6,,8.7,2021,qual
96,Sara Sulekic,CRO,3.4,5.066,,8.466,2021,qual
