Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Ekaterina Kramarenko,RUS,6.0,8.8,0.0,14.8,final,2015
2,Asuka Teramoto,JPN,5.9,8.333,0.0,14.233,final,2015
3,Maria Paseka,RUS,5.7,8.4,0.0,14.1,final,2015
4,Kelly Simm,GBR,5.9,7.666,0.0,13.566,final,2015
4,Filipa Martins,POR,5.6,7.966,0.0,13.566,final,2015
6,Georgia-Rose Brown,AUS,5.2,7.966,0.0,13.166,final,2015
7,Heo Seonmi,KOR,5.8,7.2,0.0,13.0,final,2015
8,Eum Dayeon,KOR,5.4,7.266,0.0,12.666,final,2015
1,Ekaterina Kramarenko,RUS,6.0,8.8,0.0,14.8,qual,2015
2,Maria Paseka,RUS,5.9,8.6,0.0,14.5,qual,2015
3,Heo Seonmi,KOR,5.8,8.15,0.0,13.95,qual,2015
4,Filipa Martins,POR,5.6,8.25,0.0,13.85,qual,2015
5,Georgia-Rose Brown,AUS,5.3,8.5,0.0,13.8,qual,2015
6,Asuka Teramoto,JPN,5.7,8.1,0.0,13.8,qual,2015
7,Kelly Simm,GBR,5.8,8.0,0.0,13.8,qual,2015
8,Eum Dayeon,KOR,5.4,8.2,0.0,13.6,qual,2015
9,Daria Elizarova,RUS,5.1,8.4,0.0,13.5,qual,2015
10,Wakana Inoue,JPN,5.0,8.45,0.0,13.45,qual,2015
11,Polina Fedorova,RUS,5.2,8.05,0.0,13.25,qual,2015
12,Farah Ann Abdul Hadi,MAS,5.3,7.65,0.0,12.95,qual,2015
13,Dilnoza Abdusalimova,UZB,4.6,7.95,0.0,12.55,qual,2015
14,Tracie Ang,MAS,4.7,7.85,0.0,12.55,qual,2015
15,Mary-Anne Monckton,AUS,5.4,7.15,0.0,12.55,qual,2015
16,Emma Nedov,AUS,5.0,6.95,0.0,12.45,qual,2015
17,Park Jisoo,KOR,5.3,7.05,0.0,12.35,qual,2015
18,Natsumi Sasada,JPN,5.5,6.65,0.0,12.15,qual,2015
19,Yu Minobe,JPN,5.5,6.6,0.0,12.1,qual,2015
20,Mariana Vazquez,MEX,4.7,6.95,0.0,11.65,qual,2015
21,Claudia Cummins,RSA,4.8,6.85,0.0,11.65,qual,2015
22,Annika Urvikko,FIN,5.6,6.0,0.0,11.6,qual,2015
23,Carmen Horvat,SLO,4.5,6.9,0.0,11.4,qual,2015
24,Simone Penker,AUT,4.4,6.85,0.0,11.25,qual,2015
25,Tan Ing Yueh,MAS,4.5,6.2,0.0,10.7,qual,2015
26,Nur Eli Ellina Azmi,MAS,4.5,6.05,0.0,10.55,qual,2015
27,Park Seyeon,KOR,5.2,5.35,0.0,10.55,qual,2015
28,Sofie Bråten,NOR,4.4,4.8,0.0,9.2,qual,2015
29,Jordan Rae,NZL,3.9,5.1,0.0,9.0,qual,2015
30,Elisabeth Geurts,NED,4.1,4.45,0.0,8.55,qual,2015
31,Tiril Døvre,NOR,2.2,5.55,0.0,7.75,qual,2015
