Rank,Athlete,D,E,ND,Total,Round,Nation,year
1,Li Qi,6.0,8.333,0.0,14.333,Final,CHN,2019
2,Nina Derwael,5.2,8.433,0.0,13.633,Final,BEL,2019
3,Marine Boyer,5.7,7.633,0.0,13.333,Final,FRA,2019
4,Adela Sajn,4.9,7.933,0.0,12.833,Final,SLO,2019
5,Aneta Holasova,5.0,7.8,0.0,12.8,Final,CZE,2019
6,Ting Hua-Tien,5.5,6.9,0.0,12.4,Final,TPE,2019
7,Yumika Nakamura,5.0,6.8,0.0,11.8,Final,JPN,2019
8,Soyoka Hanawa,5.5,5.966,0.0,11.466,Final,JPN,2019
1,Nina Derwael,5.3,8.266,0.0,13.566,Qual,BEL,2019
2,Marine Boyer,5.7,7.666,0.0,13.366,Qual,FRA,2019
3,Li Qi,5.7,7.7,-0.1,13.3,Qual,CHN,2019
4,Yumika Nakamura,5.0,7.9,0.0,12.9,Qual,JPN,2019
5,Ting Hua-Tien,5.3,7.5,0.0,12.8,Qual,TPE,2019
6,Adela Sajn,4.9,7.866,0.0,12.766,Qual,SLO,2019
7,Soyoka Hanawa,5.9,6.8,0.0,12.7,Qual,JPN,2019
8,Aneta Holasova,5.1,7.566,0.0,12.666,Qual,CZE,2019
9,Marta Pihan-Kulesza,5.2,7.433,0.0,12.633,Qual,POL,2019
10,Varvara Zubova,5.6,6.933,0.0,12.533,Qual,RUS,2019
11,Diana Varinska,5.3,7.0,0.0,12.3,Qual,UKR,2019
12,Csenge Bacskay,5.0,7.266,0.0,12.266,Qual,HUN,2019
13,Lai Pin-Ju,5.1,7.166,0.0,12.266,Qual,TPE,2019
14,Gabriela Janik,4.6,7.533,-0.1,12.033,Qual,POL,2019
15,Coline Devillard,5.0,6.833,0.0,11.833,Qual,FRA,2019
16,Elisa Hämmerle,4.7,7.1,0.0,11.8,Qual,AUT,2019
17,Emily Thomas,4.8,6.966,0.0,11.766,Qual,GBR,2019
18,Phoebe Jakubczyk,4.9,6.8,0.0,11.7,Qual,GBR,2019
19,An Chang Ok,4.9,6.7,0.0,11.6,Qual,PRK,2019
20,Kim Son Hyang,5.3,6.4,-0.1,11.6,Qual,PRK,2019
21,Kim Bui,4.9,6.666,-0.1,11.466,Qual,GER,2019
22,Ominakhon Khalilova,4.5,6.933,0.0,11.433,Qual,UZB,2019
23,Lucie Jirikova,4.5,6.666,0.0,11.166,Qual,CZE,2019
24,Lara Mori,5.3,5.633,0.0,10.933,Qual,ITA,2019
25,Zhao Shiting,5.5,5.4,-0.1,10.8,Qual,CHN,2019
26,Marina Nekrasova,5.1,5.733,-0.1,10.733,Qual,AZE,2019
27,Demet Mutlu,4.9,5.766,0.0,10.666,Qual,TUR,2019
28,Tutya Yilmaz,4.8,5.7,0.0,10.5,Qual,TUR,2019
29,Lisa Katharina Hill,4.2,5.5,0.0,9.7,Qual,GER,2019
30,Zoja Szekely,5.1,4.566,-0.1,9.566,Qual,HUN,2019
31,Ana Derek,4.4,4.233,0.0,8.633,Qual,CRO,2019
