Rank,Athlete,Nation,D,E,ND,Total
1,Fan Yilin,China,6.5,8.633,,15.133
2,Anastasiia Iliankova,Russia,6.3,8.466,,14.766
3,Rebeca Andrade,Brazil,6.1,8.133,,14.233
4,Daria Spiridonova,Russia,5.8,8.291,,14.091
5,Georgia-Rose Brown,Australia,5.8,8.1,,13.9
6,Anastasiia Bachynska,Ukraine,5.7,7.866,,13.566
7,Caitlin Rooskrantz,South Africa,5.2,7.933,,13.133
8,Angelina Radivilova,Ukraine,5.7,7.133,,12.833
9,Ondine Achampong,Great Britain,5.6,7.1,,12.7
10,Sophie Marois,Canada,5,7.666,,12.666
11,Audrey Rousseau,Canada,4.5,8.066,,12.566
12,Dilara Yurtdas,Turkey,4.8,7.666,,12.466
13,Ganna Metelitsa,Belarus,5.3,7.133,,12.433
14,Anastasiya Savitskaya,Belarus,4.6,7.533,,12.133
15,Marta Pihan-Kulesza,Poland,5.3,6.833,,12.133
16,Ahtziri Sandoval,Mexico,5.3,6.666,,11.966
17,Lilian Langenskiöld,Finland,4.3,7.633,,11.933
18,Georgia-Mae Fenton,Great Britain,5.4,6.4,,11.8
19,Lucija Hribar,Slovenia,4.6,6.866,,11.466
20,Thais Fidelis,Brazil,5,6.133,,11.133
21,Nazli Savranbasi,Turkey,4.4,6.6,,11
22,Maia Fishwick,New Zealand,4.8,6.166,,10.966
23,Isabella Brett,New Zealand,4.2,6.633,,10.833
24,Enni Kettunen,Finland,4.5,6,,10.5
25,Naveen Daries,South Africa,4.7,5.066,,9.766
