Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_final,round_qual,round_unknown
1.0,6.5,8.533,0.0,15.033,2019,1,208,6,True,False,False
2.0,6.5,8.433,0.0,14.933,2019,0,103,12,True,False,False
3.0,6.3,8.4,0.0,14.7,2019,0,21,55,True,False,False
4.0,6.0,8.216,0.0,14.216,2019,0,140,61,True,False,False
5.0,6.0,8.0,0.0,14.0,2019,0,148,24,True,False,False
6.0,5.1,7.916,0.0,13.016,2019,0,192,33,True,False,False
7.0,5.1,7.833,0.0,12.933,2019,0,272,35,True,False,False
8.0,5.0,7.4,0.0,12.4,2019,0,75,68,True,False,False
1.0,6.5,8.533,0.0,15.033,2019,1,208,6,False,True,False
2.0,6.3,8.6,0.0,14.9,2019,0,103,12,False,True,False
3.0,6.3,8.333,0.0,14.633,2019,0,21,55,False,True,False
4.0,5.7,8.266,0.0,13.966,2019,0,75,68,False,True,False
5.0,6.0,7.9,0.0,13.9,2019,0,148,24,False,True,False
6.0,6.0,7.366,0.0,13.366,2019,0,140,61,False,True,False
7.0,5.4,7.833,0.0,13.233,2019,0,192,33,False,True,False
8.0,5.1,8.0,0.0,13.1,2019,0,272,35,False,True,False
9.0,5.4,7.433,0.0,12.833,2019,0,166,24,False,True,False
10.0,4.9,7.8,0.0,12.7,2019,0,94,22,False,True,False
11.0,6.0,6.7,0.0,12.7,2019,0,274,26,False,True,False
12.0,5.0,7.133,0.0,12.133,2019,0,242,35,False,True,False
13.0,5.0,7.1,0.0,12.1,2019,0,28,14,False,True,False
14.0,5.2,6.9,0.0,12.1,2019,0,206,66,False,True,False
15.0,4.9,7.066,0.0,11.966,2019,0,190,21,False,True,False
16.0,4.7,7.133,0.0,11.833,2019,0,253,66,False,True,False
17.0,5.2,6.633,0.0,11.833,2019,0,15,51,False,True,False
18.0,5.0,6.733,0.0,11.733,2019,0,221,22,False,True,False
19.0,5.2,6.5,0.0,11.7,2019,0,191,49,False,True,False
20.0,4.2,7.066,0.0,11.266,2019,0,171,14,False,True,False
21.0,4.3,6.933,0.0,11.233,2019,0,189,4,False,True,False
22.0,4.7,6.5,0.0,11.2,2019,0,88,3,False,True,False
23.0,4.3,6.633,0.0,10.933,2019,0,33,58,False,True,False
24.0,4.3,6.166,0.0,10.466,2019,0,107,49,False,True,False
25.0,4.0,6.166,0.0,10.166,2019,0,249,65,False,True,False
26.0,2.8,5.6,-0.3,8.1,2019,0,230,34,False,True,False
1.0,5.7,8.15,0.0,13.85,2020,0,275,74,False,False,True
2.0,5.8,7.75,0.0,13.55,2020,0,276,74,False,False,True
3.0,5.5,7.8,0.0,13.3,2020,0,44,74,False,False,True
4.0,5.5,7.75,0.0,13.25,2020,0,157,74,False,False,True
5.0,5.7,7.55,0.0,13.25,2020,0,22,74,False,False,True
6.0,4.4,8.15,0.0,12.55,2020,0,63,74,False,False,True
7.0,5.5,6.85,0.0,12.35,2020,0,268,74,False,False,True
8.0,5.0,6.35,0.0,11.35,2020,0,87,74,False,False,True
1.0,5.7,8.3,0.0,14.0,2019,0,119,35,False,False,True
2.0,5.5,8.4,0.0,13.9,2019,0,246,55,False,False,True
3.0,5.6,8.2,0.0,13.8,2019,0,41,35,False,False,True
4.0,5.6,7.85,0.0,13.45,2019,0,134,24,False,False,True
5.0,5.3,7.9,0.0,13.2,2019,0,192,33,False,False,True
