Rank,Athlete,Nation,D,E,ND,Total,year,Event
1,Fan Yilin,CHN,6.5,8.633,0.0,15.133,2020,World Cup Baku
2,Anastasiia Iliankova,RUS,6.3,8.466,0.0,14.766,2020,World Cup Baku
3,Rebeca Andrade,BRA,6.1,8.133,0.0,14.233,2020,World Cup Baku
4,Daria Spiridonova,RUS,5.8,8.291,0.0,14.091,2020,World Cup Baku
5,Georgia-Rose Brown,AUS,5.8,8.1,0.0,13.9,2020,World Cup Baku
6,Anastasiia Bachynska,UKR,5.7,7.866,0.0,13.566,2020,World Cup Baku
7,Caitlin Rooskrantz,RSA,5.2,7.933,0.0,13.133,2020,World Cup Baku
8,Angelina Radivilova,UKR,5.7,7.133,0.0,12.833,2020,World Cup Baku
9,Ondine Achampong,GBR,5.6,7.1,0.0,12.7,2020,World Cup Baku
10,Sophie Marois,CAN,5.0,7.666,0.0,12.666,2020,World Cup Baku
11,Audrey Rousseau,CAN,4.5,8.066,0.0,12.566,2020,World Cup Baku
12,Dilara Yurtdas,TUR,4.8,7.666,0.0,12.466,2020,World Cup Baku
13,Ganna Metelitsa,BLR,5.3,7.133,0.0,12.433,2020,World Cup Baku
14,Anastasiya Savitskaya,BLR,4.6,7.533,0.0,12.133,2020,World Cup Baku
15,Marta Pihan-Kulesza,POL,5.3,6.833,0.0,12.133,2020,World Cup Baku
16,Ahtziri Sandoval,MEX,5.3,6.666,0.0,11.966,2020,World Cup Baku
17,Lilian Langenskiöld,FIN,4.3,7.633,0.0,11.933,2020,World Cup Baku
18,Georgia-Mae Fenton,GBR,5.4,6.4,0.0,11.8,2020,World Cup Baku
19,Lucija Hribar,SLO,4.6,6.866,0.0,11.466,2020,World Cup Baku
20,Thais Fidelis,BRA,5.0,6.133,0.0,11.133,2020,World Cup Baku
21,Nazli Savranbasi,TUR,4.4,6.6,0.0,11.0,2020,World Cup Baku
22,Maia Fishwick,NZL,4.8,6.166,0.0,10.966,2020,World Cup Baku
23,Isabella Brett,NZL,4.2,6.633,0.0,10.833,2020,World Cup Baku
24,Enni Kettunen,FIN,4.5,6.0,0.0,10.5,2020,World Cup Baku
25,Naveen Daries,RSA,4.7,5.066,0.0,9.766,2020,World Cup Baku
