ID,Age,Height,Weight,Year,Games_code,Team_code,City_code,Event_code,Medal_code
394,19.0,160.0,48.0,1972,8,21,13,3,-1
394,19.0,160.0,48.0,1972,8,21,13,4,2
394,19.0,160.0,48.0,1972,8,21,13,1,-1
394,19.0,160.0,48.0,1972,8,21,13,2,-1
394,19.0,160.0,48.0,1972,8,21,13,5,-1
394,19.0,160.0,48.0,1972,8,21,13,0,-1
396,25.0,165.0,55.0,2008,17,25,4,3,-1
396,25.0,165.0,55.0,2008,17,25,4,4,-1
396,25.0,165.0,55.0,2008,17,25,4,1,-1
396,25.0,165.0,55.0,2008,17,25,4,5,-1
396,25.0,165.0,55.0,2008,17,25,4,0,-1
403,18.0,153.0,48.0,1960,5,35,15,3,-1
403,18.0,153.0,48.0,1960,5,35,15,1,-1
403,18.0,153.0,48.0,1960,5,35,15,2,-1
403,18.0,153.0,48.0,1960,5,35,15,5,-1
403,18.0,153.0,48.0,1960,5,35,15,0,-1
581,26.0,0.0,0.0,1952,3,58,6,3,-1
581,26.0,0.0,0.0,1952,3,58,6,4,-1
581,26.0,0.0,0.0,1952,3,58,6,1,-1
581,26.0,0.0,0.0,1952,3,58,6,2,-1
581,26.0,0.0,0.0,1952,3,58,6,5,-1
581,26.0,0.0,0.0,1952,3,58,6,0,-1
610,22.0,148.0,46.0,1960,5,38,15,3,-1
610,22.0,148.0,46.0,1960,5,38,15,4,-1
610,22.0,148.0,46.0,1960,5,38,15,1,-1
610,22.0,148.0,46.0,1960,5,38,15,2,-1
610,22.0,148.0,46.0,1960,5,38,15,5,-1
610,22.0,148.0,46.0,1960,5,38,15,0,-1
610,26.0,148.0,46.0,1964,6,38,18,3,-1
610,26.0,148.0,46.0,1964,6,38,18,4,0
610,26.0,148.0,46.0,1964,6,38,18,1,-1
610,26.0,148.0,46.0,1964,6,38,18,2,-1
610,26.0,148.0,46.0,1964,6,38,18,5,-1
610,26.0,148.0,46.0,1964,6,38,18,0,-1
627,16.0,150.0,40.0,2008,17,58,4,3,-1
627,16.0,150.0,40.0,2008,17,58,4,4,0
627,16.0,150.0,40.0,2008,17,58,4,1,-1
627,16.0,150.0,40.0,2008,17,58,4,0,-1
970,18.0,162.0,56.0,1960,5,67,15,3,-1
970,18.0,162.0,56.0,1960,5,67,15,4,-1
970,18.0,162.0,56.0,1960,5,67,15,1,-1
970,18.0,162.0,56.0,1960,5,67,15,2,-1
970,18.0,162.0,56.0,1960,5,67,15,5,-1
970,18.0,162.0,56.0,1960,5,67,15,0,-1
976,17.0,153.0,38.0,2012,18,67,7,3,-1
976,17.0,153.0,38.0,2012,18,67,7,1,-1
976,17.0,153.0,38.0,2012,18,67,7,5,-1
976,17.0,153.0,38.0,2012,18,67,7,0,-1
1003,16.0,162.0,56.0,1980,10,67,12,3,-1
1003,16.0,162.0,56.0,1980,10,67,12,1,-1
1003,16.0,162.0,56.0,1980,10,67,12,2,-1
1003,16.0,162.0,56.0,1980,10,67,12,5,-1
1003,16.0,162.0,56.0,1980,10,67,12,0,-1
1003,20.0,162.0,56.0,1984,11,67,8,3,-1
1003,20.0,162.0,56.0,1984,11,67,8,1,-1
1003,20.0,162.0,56.0,1984,11,67,8,2,-1
1003,20.0,162.0,56.0,1984,11,67,8,5,-1
1003,20.0,162.0,56.0,1984,11,67,8,0,-1
1071,16.0,158.0,48.0,2008,17,59,4,3,-1
