ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
394,Irene Abel,F,19.0,160.0,48.0,East Germany,GDR,1972 Summer,1972,Summer,Munich,Gymnastics,Team,Silver
610,Ginko Abukawa-Chiba,F,26.0,148.0,46.0,Japan,JPN,1964 Summer,1964,Summer,Tokyo,Gymnastics,Team,Bronze
627,Andreea Roxana Acatrinei,F,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Team,Bronze
1071,Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Team,Silver
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Team,Gold
1109,Lavinia Agache (-Carney),F,16.0,148.0,40.0,Romania,ROU,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Vault,Bronze
1211,"Estella ""Stella"" Agsteribbe (-Blits)",F,19.0,,,Netherlands,NED,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Team,Gold
3281,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,All-Around,Bronze
3281,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Team,Bronze
3281,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Floor,Silver
3281,Simona Amnar (-Tabr),F,16.0,158.0,44.0,Romania,ROU,1996 Summer,1996,Summer,Atlanta,Gymnastics,Vault,Gold
3281,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,All-Around,Gold
3281,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Team,Gold
3281,Simona Amnar (-Tabr),F,20.0,158.0,44.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Floor,Bronze
3362,Bianca Ambrosetti,F,14.0,,,Italy,ITA,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Team,Silver
5700,Polina Hryhorivna Astakhova,F,20.0,166.0,56.0,Soviet Union,URS,1956 Summer,1956,Summer,Melbourne,Gymnastics,Team,Gold
5700,Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,All-Around,Bronze
5700,Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Team,Gold
5700,Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Floor,Silver
5700,Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,Soviet Union,URS,1960 Summer,1960,Summer,Roma,Gymnastics,Uneven Bars,Gold
5700,Polina Hryhorivna Astakhova,F,27.0,166.0,56.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,All-Around,Bronze
5700,Polina Hryhorivna Astakhova,F,27.0,166.0,56.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Team,Gold
5700,Polina Hryhorivna Astakhova,F,27.0,166.0,56.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Floor,Silver
5700,Polina Hryhorivna Astakhova,F,27.0,166.0,56.0,Soviet Union,URS,1964 Summer,1964,Summer,Tokyo,Gymnastics,Uneven Bars,Gold
6955,Svetlana Nikolayevna Baitova,F,16.0,152.0,39.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Team,Gold
6967,Jaroslava Bajerov,F,26.0,,,Czechoslovakia,TCH,1936 Summer,1936,Summer,Berlin,Gymnastics,Team,Silver
6994,"Ladislava Aloisie ""Laddie"" Bakanic (Hniz-)",F,24.0,,,United States,USA,1948 Summer,1948,Summer,London,Gymnastics,Team,Bronze
7162,Erzsbet Balzs (-Baranyai),F,27.0,,,Hungary,HUN,1948 Summer,1948,Summer,London,Gymnastics,Team,Silver
7444,Oana Mihaela Ban,F,18.0,139.0,36.0,Romania,ROU,2004 Summer,2004,Summer,Athina,Gymnastics,Team,Gold
8015,Marian Emma Barone (Twining-),F,24.0,,,United States,USA,1948 Summer,1948,Summer,London,Gymnastics,Team,Bronze
8379,Anita Brwirth (-Hardekopf),F,17.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Team,Gold
8727,Maritta Bauerschmidt (-Grieig),F,18.0,158.0,43.0,East Germany,GDR,1968 Summer,1968,Summer,Mexico City,Gymnastics,Team,Bronze
9492,Ilona Bksi,F,18.0,166.0,55.0,Hungary,HUN,1972 Summer,1972,Summer,Munich,Gymnastics,Team,Bronze
11195,Mohini Bhardwaj (-Barry),F,25.0,147.0,43.0,United States,USA,2004 Summer,2004,Summer,Athina,Gymnastics,Team,Silver
11223,Bi Wenjing,F,14.0,142.0,35.0,China,CHN,1996 Summer,1996,Summer,Atlanta,Gymnastics,Uneven Bars,Silver
11488,"Pamela Jean ""Pam"" Bileck (-Flat)",F,15.0,153.0,43.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Team,Silver
11495,Simone Arianne Biles,F,19.0,143.0,47.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,All-Around,Gold
11495,Simone Arianne Biles,F,19.0,143.0,47.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Team,Gold
11495,Simone Arianne Biles,F,19.0,143.0,47.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Floor,Gold
11495,Simone Arianne Biles,F,19.0,143.0,47.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Vault,Gold
11495,Simone Arianne Biles,F,19.0,143.0,47.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Balance Beam,Bronze
12481,Hana Bobkov (-Vlilov),F,23.0,,,Czechoslovakia,TCH,1952 Summer,1952,Summer,Helsinki,Gymnastics,Team,Bronze
12485,Loredana Boboc,F,16.0,139.0,32.0,Romania,ROU,2000 Summer,2000,Summer,Sydney,Gymnastics,Team,Gold
12522,Nina Antonivna Bocharova,F,27.0,,,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Gymnastics,All-Around,Silver
12522,Nina Antonivna Bocharova,F,27.0,,,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Gymnastics,Team,Gold
12522,Nina Antonivna Bocharova,F,27.0,,,Soviet Union,URS,1952 Summer,1952,Summer,Helsinki,Gymnastics,Balance Beam,Gold
12636,Andrea Bod-Molnr,F,17.0,,,Hungary,HUN,1952 Summer,1952,Summer,Helsinki,Gymnastics,Team,Silver
12636,Andrea Bod-Molnr,F,22.0,,,Hungary,HUN,1956 Summer,1956,Summer,Melbourne,Gymnastics,Team,Silver
12762,Svetlana Leonidovna Boginskaya,F,15.0,157.0,44.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,All-Around,Bronze
12762,Svetlana Leonidovna Boginskaya,F,15.0,157.0,44.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Team,Gold
12762,Svetlana Leonidovna Boginskaya,F,15.0,157.0,44.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Floor,Silver
12762,Svetlana Leonidovna Boginskaya,F,15.0,157.0,44.0,Soviet Union,URS,1988 Summer,1988,Summer,Seoul,Gymnastics,Vault,Gold
12762,Svetlana Leonidovna Boginskaya,F,19.0,157.0,44.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Gymnastics,Team,Gold
13292,Cristina Bonta (-Ttaru),F,18.0,,,Romania,ROU,1992 Summer,1992,Summer,Barcelona,Gymnastics,Team,Silver
13292,Cristina Bonta (-Ttaru),F,18.0,,,Romania,ROU,1992 Summer,1992,Summer,Barcelona,Gymnastics,Floor,Bronze
13419,Amanda Kathleen Borden (-Cochran),F,19.0,,,United States,USA,1996 Summer,1996,Summer,Atlanta,Gymnastics,Team,Gold
13708,Eva Boskov-Vchtov (-Hlavkov),F,20.0,162.0,59.0,Czechoslovakia,TCH,1952 Summer,1952,Summer,Helsinki,Gymnastics,Team,Bronze
13708,Eva Boskov-Vchtov (-Hlavkov),F,24.0,162.0,59.0,Czechoslovakia,TCH,1956 Summer,1956,Summer,Melbourne,Gymnastics,Balance Beam,Silver
13708,Eva Boskov-Vchtov (-Hlavkov),F,28.0,162.0,59.0,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Gymnastics,Team,Silver
13708,Eva Boskov-Vchtov (-Hlavkov),F,28.0,162.0,59.0,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Gymnastics,Balance Beam,Gold
15212,Annie Broadbent,F,,,,Great Britain,GBR,1928 Summer,1928,Summer,Amsterdam,Gymnastics,Team,Bronze
15667,Wendy Suzanne Bruce (-Martin),F,19.0,155.0,45.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Gymnastics,Team,Bronze
16353,Diana Laura Bulimar,F,16.0,140.0,,Romania,ROU,2012 Summer,2012,Summer,London,Gymnastics,Team,Bronze
16483,Lyubov Viktorovna Burda (-Andrianova),F,15.0,162.0,48.0,Soviet Union,URS,1968 Summer,1968,Summer,Mexico City,Gymnastics,Team,Gold
16483,Lyubov Viktorovna Burda (-Andrianova),F,19.0,162.0,48.0,Soviet Union,URS,1972 Summer,1972,Summer,Munich,Gymnastics,Team,Gold
16526,Erna Brger,F,27.0,,,Germany,GER,1936 Summer,1936,Summer,Berlin,Gymnastics,Team,Gold
18674,"Consetta Anne ""Connie"" Caruccio-Lenz",F,29.0,,,United States,USA,1948 Summer,1948,Summer,London,Gymnastics,Team,Bronze
18826,Vra slavsk (-Odloilov),F,18.0,160.0,58.0,Czechoslovakia,TCH,1960 Summer,1960,Summer,Roma,Gymnastics,Team,Silver
18826,Vra slavsk (-Odloilov),F,22.0,160.0,58.0,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,All-Around,Gold
18826,Vra slavsk (-Odloilov),F,22.0,160.0,58.0,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,Team,Silver
18826,Vra slavsk (-Odloilov),F,22.0,160.0,58.0,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,Vault,Gold
18826,Vra slavsk (-Odloilov),F,22.0,160.0,58.0,Czechoslovakia,TCH,1964 Summer,1964,Summer,Tokyo,Gymnastics,Balance Beam,Gold
18826,Vra slavsk (-Odloilov),F,26.0,160.0,58.0,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,All-Around,Gold
18826,Vra slavsk (-Odloilov),F,26.0,160.0,58.0,Czechoslovakia,TCH,1968 Summer,1968,Summer,Mexico City,Gymnastics,Team,Silver
