Name,Sex,Age,Height,Weight,NOC,Year,Event,Medal
Irene Abel,F,19.0,160.0,48.0,GDR,1972,Floor,none
Katja Abel,F,25.0,165.0,55.0,GER,2008,Floor,none
Ruth Abeles,F,18.0,153.0,48.0,ISR,1960,Floor,none
Elisabeta Abrudeanu,F,26.0,,,ROU,1952,Floor,none
Ginko Abukawa-Chiba,F,22.0,148.0,46.0,JPN,1960,Floor,none
Ginko Abukawa-Chiba,F,26.0,148.0,46.0,JPN,1964,Floor,none
Andreea Roxana Acatrinei,F,16.0,150.0,40.0,ROU,2008,Floor,none
Lena Kristina Adler,F,18.0,162.0,56.0,SWE,1960,Floor,none
Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,SWE,2012,Floor,none
Lena Annika Adomat,F,16.0,162.0,56.0,SWE,1980,Floor,none
Lena Annika Adomat,F,20.0,162.0,56.0,SWE,1984,Floor,none
Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,RUS,2008,Floor,none
Kseniya Dmitriyevna Afanasyeva,F,20.0,158.0,48.0,RUS,2012,Floor,none
Lavinia Agache (-Carney),F,16.0,148.0,40.0,ROU,1984,Floor,none
Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,UKR,2004,Floor,none
Angela Alberti,F,23.0,163.0,55.0,ITA,1972,Floor,none
Nancy Aldama Ruiloba,F,22.0,156.0,52.0,CUB,1968,Floor,none
Liliyana Lyubenova Aleksandrova,F,21.0,167.0,67.0,BUL,1964,Floor,none
Monique Marie Allen,F,16.0,157.0,46.0,AUS,1988,Floor,none
Monique Marie Allen,F,20.0,157.0,46.0,AUS,1992,Floor,none
Lenke Almsi,F,15.0,148.0,40.0,HUN,1980,Floor,none
Barbara Alred (-Collins),F,18.0,157.0,52.0,GBR,1972,Floor,none
Maria Avelina Alvarez,F,18.0,162.0,45.0,POR,1980,Floor,none
Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,PAN,2016,Floor,none
Simona Amnar (-Tabr),F,16.0,158.0,44.0,ROU,1996,Floor,Silver
Simona Amnar (-Tabr),F,20.0,158.0,44.0,ROU,2000,Floor,Bronze
Hilda Amezaga Harfuch,F,18.0,155.0,47.0,MEX,1972,Floor,none
Maria Laura Silva Amorim,F,20.0,,,POR,1952,Floor,none
An Myong-Hwa,F,17.0,,,PRK,1992,Floor,none
Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,BRA,2016,Floor,none
