Name,Sex,Age,Height,Weight,NOC,Year,Event,Medal
Irene Abel,F,19.0,160.0,48.0,GDR,1972,Uneven Bars,none
Katja Abel,F,25.0,165.0,55.0,GER,2008,Uneven Bars,none
Ruth Abeles,F,18.0,153.0,48.0,ISR,1960,Uneven Bars,none
Elisabeta Abrudeanu,F,26.0,,,ROU,1952,Uneven Bars,none
Ginko Abukawa-Chiba,F,22.0,148.0,46.0,JPN,1960,Uneven Bars,none
Ginko Abukawa-Chiba,F,26.0,148.0,46.0,JPN,1964,Uneven Bars,none
Lena Kristina Adler,F,18.0,162.0,56.0,SWE,1960,Uneven Bars,none
Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,SWE,2012,Uneven Bars,none
Lena Annika Adomat,F,16.0,162.0,56.0,SWE,1980,Uneven Bars,none
Lena Annika Adomat,F,20.0,162.0,56.0,SWE,1984,Uneven Bars,none
Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,RUS,2008,Uneven Bars,none
Lavinia Agache (-Carney),F,16.0,148.0,40.0,ROU,1984,Uneven Bars,none
Mirabella Viliamivna Akhunu,F,17.0,159.0,50.0,UKR,2004,Uneven Bars,none
Angela Alberti,F,23.0,163.0,55.0,ITA,1972,Uneven Bars,none
Nancy Aldama Ruiloba,F,22.0,156.0,52.0,CUB,1968,Uneven Bars,none
Liliyana Lyubenova Aleksandrova,F,21.0,167.0,67.0,BUL,1964,Uneven Bars,none
Monique Marie Allen,F,16.0,157.0,46.0,AUS,1988,Uneven Bars,none
Monique Marie Allen,F,20.0,157.0,46.0,AUS,1992,Uneven Bars,none
Lenke Almsi,F,15.0,148.0,40.0,HUN,1980,Uneven Bars,none
Barbara Alred (-Collins),F,18.0,157.0,52.0,GBR,1972,Uneven Bars,none
Tabea Lara Alt,F,16.0,158.0,50.0,GER,2016,Uneven Bars,none
Maria Avelina Alvarez,F,18.0,162.0,45.0,POR,1980,Uneven Bars,none
Isabella del Carmen Amado Medrano,F,19.0,155.0,59.0,PAN,2016,Uneven Bars,none
Simona Amnar (-Tabr),F,16.0,158.0,44.0,ROU,1996,Uneven Bars,none
Simona Amnar (-Tabr),F,20.0,158.0,44.0,ROU,2000,Uneven Bars,none
Hilda Amezaga Harfuch,F,18.0,155.0,47.0,MEX,1972,Uneven Bars,none
Maria Laura Silva Amorim,F,20.0,,,POR,1952,Uneven Bars,none
An Myong-Hwa,F,17.0,,,PRK,1992,Uneven Bars,none
Rebeca Rodrigues de Andrade,F,17.0,151.0,46.0,BRA,2016,Uneven Bars,none
Trine Helene Andresen (-Svendheim),F,16.0,158.0,54.0,NOR,1972,Uneven Bars,none
Stoyanka Dobreva Angelova,F,24.0,,,BUL,1952,Uneven Bars,none
Maria Apostolidi,F,15.0,150.0,39.0,GRE,2004,Uneven Bars,none
Elbieta Rozalia Apostolska (-Kamiska),F,20.0,159.0,56.0,POL,1964,Uneven Bars,none
Lise Isabelle Arsenault-Goertz,F,17.0,162.0,49.0,CAN,1972,Uneven Bars,none
Lise Isabelle Arsenault-Goertz,F,21.0,162.0,49.0,CAN,1976,Uneven Bars,none
Elena Artamendi Garca,F,21.0,,,ESP,1960,Uneven Bars,none
Montserrat Artamendi Garca,F,18.0,,,ESP,1960,Uneven Bars,none
Marta Artigas y Masdeu,F,16.0,160.0,32.0,ESP,1984,Uneven Bars,none
Polina Hryhorivna Astakhova,F,20.0,166.0,56.0,URS,1956,Uneven Bars,none
Polina Hryhorivna Astakhova,F,23.0,166.0,56.0,URS,1960,Uneven Bars,Gold
Polina Hryhorivna Astakhova,F,27.0,166.0,56.0,URS,1964,Uneven Bars,Gold
Rayna Atanasova,F,24.0,166.0,62.0,BUL,1968,Uneven Bars,none
Martine Audin (-Bonin),F,17.0,154.0,49.0,FRA,1976,Uneven Bars,none
Nadine Audin (-Bredillet),F,14.0,160.0,50.0,FRA,1972,Uneven Bars,none
Nadine Audin (-Bredillet),F,18.0,160.0,50.0,FRA,1976,Uneven Bars,none
Eila Kaarina Autio (-Helle),F,19.0,164.0,51.0,FIN,1960,Uneven Bars,none
Moldir Azimbay,F,16.0,162.0,,KAZ,2012,Uneven Bars,none
Bae Eun-Mi,F,15.0,155.0,43.0,KOR,1988,Uneven Bars,none
Monique Baelden (-Gorski),F,26.0,162.0,56.0,FRA,1964,Uneven Bars,none
Teofila Biau,F,24.0,,,ROU,1952,Uneven Bars,none
Svetlana Nikolayevna Baitova,F,16.0,152.0,39.0,URS,1988,Uneven Bars,none
Nataa Bajin-ljepica,F,23.0,157.0,49.0,YUG,1968,Uneven Bars,none
Nataa Bajin-ljepica,F,26.0,157.0,49.0,YUG,1972,Uneven Bars,none
Mara Rosa Balaguer Torres,F,18.0,,,ESP,1960,Uneven Bars,none
Bernadett Balzs,F,17.0,163.0,50.0,HUN,1992,Uneven Bars,none
Ildik Balog,F,14.0,153.0,47.0,HUN,1992,Uneven Bars,none
Ildik Balog,F,18.0,153.0,47.0,HUN,1996,Uneven Bars,none
Oana Mihaela Ban,F,18.0,139.0,36.0,ROU,2004,Uneven Bars,none
gnes Bnfai,F,21.0,159.0,52.0,HUN,1968,Uneven Bars,none
Melanie Louise Banville,F,17.0,158.0,52.0,CAN,2004,Uneven Bars,none
Jade Fernandes Barbosa,F,17.0,151.0,45.0,BRA,2008,Uneven Bars,none
Jade Fernandes Barbosa,F,25.0,151.0,45.0,BRA,2016,Uneven Bars,none
