Date,Competition,,VT,UB,BB,FX,AA
Nov 25-Dec 5,Junior Pan American Games,EF,13.933*,0,12.7,13,0
Nov 25-Dec 5,Junior Pan American Games,AA,14.35,13.1,12.45,13.35,53.25
Nov 15-18,U.S. Junior Pan Am Games Trials,EF,0,12.8,13.15,0,0
Nov 15-18,U.S. Junior Pan Am Games Trials,AA,14.3,13.6,13.25,13.25,54.4
Jun 18-20,Junior Pan American Championships,EF,13.784*,13.567,12.034,0,0
Jun 18-20,Junior Pan American Championships,AA,14.6,13.55,12.55,13.4,54.1
Jun 3-6,U.S. Championships,AA,14.2,13.3,12.05,13.65,53.2
Jun 3-6,U.S. Championships,QF,14.15,13.2,13.15,13.5,54
May 21-22,U.S. Classic,AA,14.1,13.3,13.75,13.5,54.65
24-Apr,American Classic,AA,0,13.2,13.6,0,0
13-Mar,March National Team Camp,AA,14.35,12.25,11.6,13.1,51.3
Feb 26-28,Winter Cup,AA,14.3,11.5,11.4,12.55,49.75
6-Feb,WOGA Classic,AA,13.45,13.75,10.8,12.7,50.7
