iter	Passed	Remaining
0	57	56951
1	59	29678
2	61	20586
3	64	15989
4	66	13225
5	68	11384
6	70	10043
7	72	9044
8	75	8273
9	77	7641
10	79	7114
11	81	6685
12	83	6316
13	85	5994
14	86	5703
15	88	5453
16	90	5236
17	92	5061
18	94	4892
19	96	4747
20	98	4611
21	101	4493
22	103	4375
23	104	4262
24	107	4189
25	110	4127
26	112	4041
27	114	3961
28	115	3883
29	117	3813
30	119	3745
31	121	3681
32	123	3617
33	125	3567
34	127	3512
35	129	3462
36	131	3416
37	133	3367
38	134	3322
39	136	3280
40	138	3235
41	140	3196
42	141	3153
43	143	3112
44	144	3073
45	146	3033
46	147	2996
47	149	2961
48	150	2930
49	152	2900
50	154	2877
51	156	2854
52	158	2829
53	160	2803
54	161	2778
55	163	2761
56	165	2736
57	166	2710
58	168	2685
59	170	2663
60	171	2641
61	173	2620
62	174	2602
63	176	2587
64	178	2567
65	180	2547
66	181	2527
67	183	2509
68	184	2492
69	186	2475
70	188	2463
71	190	2450
72	191	2434
73	193	2419
74	195	2406
75	196	2394
76	198	2380
77	200	2365
78	201	2351
79	203	2338
80	204	2324
81	206	2309
82	208	2298
83	209	2284
84	210	2271
85	212	2258
86	214	2245
87	215	2232
88	216	2220
89	218	2210
90	220	2203
91	222	2195
92	224	2186
93	225	2177
94	227	2169
95	229	2158
96	230	2149
97	232	2140
98	234	2131
99	235	2120
100	237	2110
101	238	2101
102	240	2092
103	242	2086
104	243	2079
105	245	2070
106	247	2061
107	248	2052
108	250	2046
109	252	2045
110	254	2041
111	256	2035
112	258	2030
113	260	2024
114	262	2018
115	264	2013
116	266	2007
117	267	2001
118	269	1993
119	271	1988
120	273	1983
121	275	1980
122	277	1975
123	279	1972
124	281	1967
125	282	1959
126	284	1954
127	286	1950
128	288	1946
129	290	1941
130	291	1936
131	293	1931
132	295	1926
133	297	1922
134	299	1918
135	301	1913
136	302	1908
137	304	1903
138	306	1898
139	308	1894
140	310	1888
141	311	1882
142	313	1876
143	314	1870
144	316	1866
145	318	1863
146	320	1859
147	322	1855
148	324	1850
149	325	1846
150	327	1840
151	329	1836
152	330	1831
153	332	1825
154	333	1820
155	335	1814
156	336	1809
157	338	1804
158	340	1799
159	341	1794
160	343	1789
161	344	1783
162	346	1777
163	348	1774
164	350	1772
165	351	1767
166	353	1764
167	355	1760
168	357	1755
