iter	RMSE
0	1.6033577
1	1.481861999
2	1.377870417
3	1.28200631
4	1.188266546
5	1.103635695
6	1.024941202
7	0.9530250104
8	0.8946687576
9	0.8346798185
10	0.7816715715
11	0.7354702719
12	0.6876049944
13	0.6451341409
14	0.6059317933
15	0.5723716241
16	0.5390654579
17	0.5121282877
18	0.4838828606
19	0.4609512833
20	0.4394300774
21	0.4206513617
22	0.4012286847
23	0.3875539837
24	0.3731755231
25	0.3592374354
26	0.3457271153
27	0.3344924495
28	0.3231947855
29	0.3120512425
30	0.30403584
31	0.2963188748
32	0.2887849596
33	0.2817704919
34	0.2745669009
35	0.2694928905
36	0.2636714751
37	0.2585139959
38	0.254584875
39	0.2503690214
40	0.2473252508
41	0.244280523
42	0.2415886956
43	0.2383101152
44	0.2352954088
45	0.2333644165
46	0.2306191279
47	0.2289887224
48	0.2249557819
49	0.2234549341
50	0.2191588581
51	0.2172085193
52	0.2153671757
53	0.2139154179
54	0.2118357409
55	0.2102710873
56	0.2088616523
57	0.2075161279
58	0.2067052192
59	0.2057665084
60	0.2046249793
61	0.2036637038
62	0.202496671
63	0.2017176592
64	0.2008094227
65	0.1975363589
66	0.1963560174
67	0.1955639059
68	0.1947352255
69	0.1939880625
70	0.1934351569
71	0.1928032919
72	0.1921985647
73	0.1918153775
74	0.191452068
75	0.1906745448
76	0.1903350918
77	0.1898155814
78	0.1895202751
79	0.1886342596
80	0.1881172919
81	0.1878603014
82	0.1876398328
83	0.1872328733
84	0.1868217869
85	0.186348294
86	0.1861754347
87	0.1857786309
88	0.1855683161
89	0.1815460491
90	0.1809083702
91	0.1806797816
92	0.1788754886
93	0.1785678602
94	0.1753009887
95	0.175108447
96	0.1748041713
97	0.1742671608
98	0.1740312867
99	0.1738549241
100	0.1734194854
101	0.1731775596
102	0.1727422486
103	0.1723245599
104	0.1717666109
105	0.1713557445
106	0.1709626262
107	0.170727472
108	0.1704064792
109	0.1701769882
110	0.1698441777
111	0.16936108
112	0.1691118992
113	0.1689291919
114	0.1673443618
115	0.1671332564
116	0.1668192286
117	0.1665454974
118	0.1632818755
119	0.1628248126
120	0.1626342206
121	0.1623479227
122	0.1620941016
123	0.1619401387
124	0.1542998664
125	0.1540887555
126	0.1538940742
127	0.1536922198
128	0.1534369579
129	0.1519745609
130	0.1515726922
131	0.1509203911
132	0.1506868234
133	0.1500855082
134	0.1498898876
135	0.1498052983
136	0.1496088613
137	0.1495118894
138	0.149417619
139	0.1492511836
140	0.1491418862
141	0.1489125738
142	0.1487581513
143	0.1484987749
144	0.148205966
145	0.1479073049
146	0.1477124862
147	0.1475567189
148	0.1474947919
149	0.1474082249
150	0.1458996731
151	0.1456384709
152	0.1454229513
153	0.145284945
154	0.1450851307
155	0.1449728291
156	0.144833869
157	0.1442799803
158	0.1428181912
159	0.1427161354
160	0.1361593154
161	0.1360437679
162	0.1359905307
163	0.1359052184
164	0.1357559227
165	0.1356226238
166	0.1353781055
167	0.1335095494
168	0.1323290906
169	0.1322115662
170	0.1321002147
171	0.1319749479
172	0.1318933723
173	0.1317480568
174	0.1315858073
175	0.1299815207
176	0.1298680206
177	0.1297493168
178	0.1286484475
179	0.126069443
180	0.1258552897
181	0.1257070578
182	0.1256070782
183	0.1255060646
184	0.1246509516
185	0.1229450818
186	0.1228301076
187	0.1226880008
188	0.1214848155
189	0.1206678422
190	0.1202882545
191	0.1202037285
192	0.1201379427
193	0.119990385
194	0.1198925665
195	0.1197160195
196	0.1193444282
197	0.1193147048
198	0.119179143
199	0.1176557093
200	0.1175855406
201	0.1169623628
202	0.1168572541
203	0.1167666711
204	0.1167003964
205	0.1166655507
206	0.1162094511
207	0.1156190226
208	0.1155351818
209	0.1152060558
210	0.1149773954
211	0.1148343322
212	0.1147175559
213	0.1143242194
214	0.1139964366
215	0.1126334425
216	0.1124997925
217	0.1123375342
218	0.1122649372
219	0.1121840399
220	0.1120708291
221	0.1112049607
222	0.1111318063
223	0.1110040645
224	0.1107447739
225	0.1102017642
226	0.1096359196
227	0.1095879617
228	0.1095207554
229	0.1081109988
230	0.1080298519
231	0.1079349859
232	0.1078637078
233	0.107774705
234	0.1077052113
235	0.1068149996
236	0.1067096863
237	0.1066129837
238	0.106534037
239	0.1064415175
240	0.1062059487
241	0.1061450989
242	0.1059689427
243	0.1059254115
244	0.1054945884
245	0.105448053
246	0.1046719909
247	0.1046526275
248	0.1046028525
249	0.1045540999
250	0.1026388909
251	0.102547041
252	0.1025223756
253	0.1018346924
254	0.1016693389
255	0.1016243931
256	0.1003838261
257	0.1003036046
258	0.1002215373
259	0.1001526599
260	0.100004312
261	0.0999767191
262	0.0992204055
263	0.09868618431
264	0.09867356016
265	0.09856326063
266	0.09849026228
267	0.09839934719
268	0.09831291124
269	0.09824365187
270	0.09817667196
271	0.09813719852
272	0.09790673543
273	0.09783478773
274	0.09774419129
275	0.09769394705
276	0.0976425396
277	0.09757025208
278	0.09745233617
279	0.09740858986
280	0.09677460742
281	0.09669140726
282	0.0963107549
283	0.09602623279
284	0.09535022525
285	0.09469687197
286	0.09459717754
287	0.09396105751
288	0.09387666479
289	0.09382148874
290	0.09374765605
291	0.09315941083
292	0.09310817632
293	0.09284236238
294	0.0922035581
295	0.09211226129
296	0.09207879697
297	0.09173726153
298	0.09158053019
299	0.09127625686
300	0.0895296712
301	0.08950310494
302	0.08942560128
303	0.08940497278
304	0.08910132112
305	0.08903728339
306	0.08830878832
307	0.08820674709
308	0.08815205415
309	0.08809350932
310	0.08781292833
311	0.08775977431
312	0.08768922846
313	0.0876309732
314	0.0875713084
315	0.08753793477
316	0.08748082196
317	0.08739330526
318	0.08726207144
319	0.08699320791
320	0.08695523578
321	0.08688557502
322	0.08676040284
323	0.08670628513
324	0.08665179405
325	0.08548833662
326	0.08401502275
327	0.0837688248
328	0.08374192676
329	0.08370615228
330	0.08364765991
331	0.08355916344
332	0.08307366749
333	0.0827738043
334	0.08251359111
335	0.08223741104
336	0.08116633027
337	0.08111944078
338	0.08108515508
339	0.08103551019
340	0.08100128048
341	0.08096250186
342	0.08090717223
343	0.08073982813
344	0.08046863606
345	0.08007003547
346	0.07980130009
347	0.07976367539
348	0.07971715314
349	0.07961490437
350	0.07957697749
351	0.07952130686
352	0.07948800366
353	0.07904162364
354	0.07887213985
355	0.0788400099
356	0.07875594101
357	0.07869659295
358	0.07827898728
359	0.07813968337
360	0.07725522276
361	0.07713204926
362	0.07676568316
363	0.07675081134
364	0.07587118884
365	0.07580913115
366	0.07570539645
367	0.07569102899
368	0.07565132147
369	0.07489613646
370	0.07487686328
371	0.07485366635
372	0.07414371595
373	0.07413068119
374	0.07365102649
375	0.07359930234
376	0.07353904115
377	0.07334270623
378	0.07329731949
379	0.07325307682
380	0.07318270693
381	0.07305609332
382	0.07286228332
383	0.07278619946
384	0.07275325106
385	0.07270994122
386	0.07263014059
387	0.07257744343
388	0.07253243419
389	0.0724660053
390	0.07242398035
391	0.07111827732
392	0.0710397101
393	0.07083761492
394	0.07077628355
395	0.07035031025
396	0.07026577449
397	0.0695919793
398	0.06955167395
399	0.06949541921
400	0.06908120885
401	0.06863856761
402	0.06854571262
403	0.06633853614
404	0.06629520809
405	0.06626753326
406	0.06591521789
407	0.0658724015
408	0.06584362041
409	0.0654319139
410	0.06538131058
411	0.065338847
412	0.06530015141
413	0.06519721359
414	0.06515141881
415	0.06509593525
416	0.06452329993
417	0.06448363975
418	0.06440934853
419	0.06435999229
420	0.06429138409
421	0.06395744799
422	0.06390069295
423	0.06372026429
424	0.06366356914
425	0.06360974804
426	0.06358386289
427	0.06354025913
428	0.06300806671
429	0.06272184353
430	0.06265379501
431	0.06259977951
432	0.06240724402
433	0.06236443076
434	0.06232744364
435	0.06230477302
436	0.06223584077
437	0.06167448028
438	0.0616356163
