Model,Price,Year,Mileage,Fuel Type
Honda FR-V FR-V 2.2 i-CTDi Comfort,"CHF 1,500",11.2008,"275,000 km",Diesel
Toyota RAV-4 RAV-4 2.2D-4 D CleanPower Linea Luna,"CHF 2,500",12.2006,"291,000 km",Diesel
BMW 320 320d xDrive 48V Touring M Sport Steptronic,"CHF 34,900",03.2021,"43,000 km",Diesel/Electric
Audi S3 S3 Sportback 2.0 TFSI quattro,"CHF 16,960",08.2014,"181,500 km",Petrol
VW Polo Polo 75,"CHF 1,500",01.1998,"95,900 km",Petrol
VW Golf Golf 1.4 TSI Highline DSG,"CHF 7,499",05.2010,"134,500 km",Petrol
Mercedes-Benz C 220 C 220 CDI Sport Edition,"CHF 3,700",01.2007,"225,000 km",Diesel
Fiat 500 500 0.9 Twinair Lounge Dualogic,"CHF 6,500",12.2017,"89,815 km",Petrol
Citroen C1 C1 1.0i Séduction EGS,"CHF 4,400",07.2013,"64,817 km",Petrol
Mercedes-Benz G 400 G 400 d Stronger Than Time Edition 9G-Tronic,"CHF 129,900",12.2020,"115,231 km",Diesel
Honda HR-V HR-V 1.5i-VTEC Executive CVT,"CHF 17,900",03.2018,"108,000 km",Petrol
Land Rover Range Rover Sport Range Rover Sport 3.0 TDV6 HSE Automatic,"CHF 10,900",07.2012,"205,000 km",Diesel
Renault Clio Clio 1.6 16V Dynamique,"CHF 3,999",02.2007,"125,000 km",Petrol
Skoda Fabia Fabia 1.4 16V Elegance Automatic,"CHF 3,400",12.2006,"170,000 km",Petrol
Audi A3 A3 Sportback 1.4 TFSI Ambiente,"CHF 17,400",10.2015,"71,600 km",Petrol
VW Caddy Caddy Maxi 1.2 TSI,"CHF 8,700",11.2011,"77,942 km",Petrol
Opel Vivaro Vivaro 2.0 CDTI 2.7t A L1H1,"CHF 4,990",11.2013,"117,289 km",Diesel
VW Golf R32 Golf R32 4Motion,"CHF 6,600",10.2007,"280,000 km",Petrol
VW Tiguan Tiguan 1.4 TSI Sport&Style 4Motion,"CHF 10,900",10.2011,"124,080 km",Petrol
Citroen Berlingo Berlingo 1.4 X Familiale,"CHF 3,500",05.2005,"123,000 km",Petrol
VW Touran Touran 1.9 TDI,"CHF 2,800",06.2005,"257,000 km",Diesel
