Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Name,Total_Score
w,MAS,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,76.0,4.8,6.766,0.0,11.566,HADI ABDUL,11.565999999999999
w,MAS,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,64.0,4.6,7.633,0.0,12.233,HADI ABDUL,12.233
w,MAS,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,74.0,5.1,6.5,0.0,11.6,HADI ABDUL,11.6
w,MAS,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,72.0,4.6,8.566,0.0,13.166,HADI ABDUL,13.166
w,MAS,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,76.0,4.8,6.766,0.0,11.566,Farah Ann ABDUL HADI,11.565999999999999
w,MAS,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,64.0,4.6,7.633,0.0,12.233,Farah Ann ABDUL HADI,12.233
w,MAS,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,74.0,5.1,6.5,0.0,11.6,Farah Ann ABDUL HADI,11.6
w,SWE,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,12.0,6.3,8.233,0.0,14.533,Jonna ADLERTEG,14.533000000000001
w,ROC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,59.0,5.1,7.166,0.0,12.266,Liliia AKHAIMOVA,12.266
w,ROC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,59.0,5.1,7.166,0.0,12.266,Liliia AKHAIMOVA,12.266
w,ROC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,11.0,5.8,7.833,0.0,13.633,Liliia AKHAIMOVA,13.633
w,ROC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,11.0,5.8,7.833,0.0,13.633,Liliia AKHAIMOVA,13.633
w,ROC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,49.0,5.4,7.5,0.0,12.9,Liliia AKHAIMOVA,12.9
w,ROC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,49.0,5.4,7.5,0.0,12.9,Liliia AKHAIMOVA,12.9
w,ROC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,10.0,5.8,8.966,0.0,14.766,Liliia AKHAIMOVA,14.765999999999998
w,ROC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT1,7.0,5.8,8.966,0.0,14.766,Liliia AKHAIMOVA,14.765999999999998
w,ROC,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",VT1,6.0,5.8,8.866,0.1,14.666,Liliia AKHAIMOVA,14.566
w,ROC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT2,7.0,5.6,9.033,0.0,14.633,Liliia AKHAIMOVA,14.633
w,ROC,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",VT2,6.0,5.6,9.066,0.0,14.666,Liliia AKHAIMOVA,14.666
w,CRC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,37.0,5.3,7.666,0.0,12.966,Luciana ALVARADO,12.966000000000001
w,CRC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,37.0,5.3,7.666,0.0,12.966,Luciana ALVARADO,12.966000000000001
w,CRC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,66.0,4.7,7.466,0.0,12.166,Luciana ALVARADO,12.166
w,CRC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,66.0,4.7,7.466,0.0,12.166,Luciana ALVARADO,12.166
w,CRC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,55.0,4.9,7.841,0.0,12.741,Luciana ALVARADO,12.741
w,CRC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,55.0,4.9,7.841,0.0,12.741,Luciana ALVARADO,12.741
w,CRC,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,59.0,4.6,8.833,0.0,13.433,Luciana ALVARADO,13.433
w,BRA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",BB,5.0,5.7,7.966,0.0,13.666,Rebeca ANDRADE,13.666
w,BRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,18.0,5.8,7.933,0.0,13.733,Rebeca ANDRADE,13.733
w,BRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,18.0,5.8,7.933,0.0,13.733,Rebeca ANDRADE,13.733
w,BRA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",FX,7.0,5.9,8.166,0.4,13.666,Rebeca ANDRADE,13.666
w,BRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,4.0,5.7,8.366,0.0,14.066,Rebeca ANDRADE,14.065999999999999
w,BRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",FX,4.0,5.7,8.366,0.0,14.066,Rebeca ANDRADE,14.065999999999999
w,BRA,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",FX,5.0,5.9,8.233,0.1,14.03,Rebeca ANDRADE,14.033000000000001
w,BRA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",UE,5.0,6.3,8.366,0.0,14.666,Rebeca ANDRADE,14.666
w,BRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,19.0,6.0,8.2,0.0,14.2,Rebeca ANDRADE,14.2
w,BRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",UE,19.0,6.0,8.2,0.0,14.2,Rebeca ANDRADE,14.2
w,BRA,2021-07-29 00:00:00,Olympic Games,final,"Tokyo, Japan",VT,1.0,6.0,9.4,0.1,15.3,Rebeca ANDRADE,15.3
w,BRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT,1.0,6.0,9.4,0.0,15.4,Rebeca ANDRADE,15.4
w,BRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT1,3.0,6.0,9.4,0.0,15.4,Rebeca ANDRADE,15.4
w,BRA,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",VT1,1.0,6.0,9.266,0.1,15.166,Rebeca ANDRADE,15.166
w,BRA,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",VT2,3.0,5.4,9.4,0.0,14.8,Rebeca ANDRADE,14.8
w,BRA,2021-08-01 00:00:00,Olympic Games,final,"Tokyo, Japan",VT2,1.0,5.8,9.2,0.1,15.0,Rebeca ANDRADE,14.9
w,JPN,2021-07-25 00:00:00,Olympic Games,qual,"Tokyo, Japan",BB,12.0,5.9,8.0,0.0,13.9,Urara ASHIKAWA,13.9
