Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score,Name,Total_Score
m,NOR,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",HB,39.0,4.6,6.7,0.0,11.3,Fredrik AAS,11.3
m,NOR,2023-02-26 20:23:00,FIG Apparatus World Cup 2023,qual,"Cottbus, Germany",PH,44.0,4.4,7.8,0.0,12.2,Fredrik AAS,12.2
m,NOR,2001-08-05 20:23:00,2023 FISH World University Games,qual,"Chengdu, China",FX,54.0,8.566,4.0,0.0,12.566,Fredrik Bjornevik AAS,12.566
m,NOR,2001-08-05 20:23:00,2023 FISH World University Games,qual,"Chengdu, China",HB,44.0,8.166,4.6,0.0,12.766,Fredrik Bjornevik AAS,12.766
m,NOR,2001-08-05 20:23:00,2023 FISH World University Games,qual,"Chengdu, China",PB,54.0,8.066,4.4,0.0,12.466,Fredrik Bjornevik AAS,12.466000000000001
m,NOR,2001-08-05 20:23:00,2023 FISH World University Games,qual,"Chengdu, China",PH,58.0,7.266,4.4,0.0,11.666,Fredrik Bjornevik AAS,11.666
m,NOR,2001-08-05 20:23:00,2023 FISH World University Games,qual,"Chengdu, China",SR,73.0,8.366,3.5,0.0,11.866,Fredrik Bjornevik AAS,11.866
m,NOR,2001-08-05 20:23:00,2023 FISH World University Games,qual,"Chengdu, China",VT1,69.0,8.966,4.0,0.0,12.966,Fredrik Bjornevik AAS,12.966
m,ESP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",FX,86.0,5.4,7.133,0.1,12.433,Nestor ABAD,12.433000000000002
m,ESP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",HB,10.0,5.3,8.5,0.0,13.8,Nestor ABAD,13.8
m,ESP,2018-08-21 20:22:00,2022 Senior European Championships,TeamFinal,"Munich, Germany",HB,10.0,5.3,8.1,0.0,13.4,Nestor ABAD,13.399999999999999
m,ESP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PB,9.0,5.8,8.6,0.0,14.4,Nestor ABAD,14.399999999999999
m,ESP,2018-08-21 20:22:00,2022 Senior European Championships,TeamFinal,"Munich, Germany",PB,10.0,5.8,8.266,0.0,14.066,Nestor ABAD,14.065999999999999
m,ESP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",PH,105.0,5.0,5.5,0.0,10.5,Nestor ABAD,10.5
m,ESP,2018-08-21 20:22:00,2022 Senior European Championships,qual,"Munich, Germany",SR,23.0,5.3,8.366,0.0,13.666,Nestor ABAD,13.666
m,ESP,2018-08-21 20:22:00,2022 Senior European Championships,TeamFinal,"Munich, Germany",SR,6.0,5.3,8.333,0.0,13.633,Nestor ABAD,13.633
