Name,vt,ub,bb,fx,Country
Lilia Akhaimova,14.733,0.0,0.0,0.0,ROC
Viktoria Listunova,0.0,14.9,14.333,14.166,ROC
Angelina Melnikova,14.6,14.933,12.566,13.966,ROC
Vladislava Urazova,14.466,14.866,12.633,13.366,ROC
Simone Biles,13.766,0.0,0.0,0.0,USA
Jordan Chiles,14.666,14.166,13.433,11.7,USA
Sunisa Lee,0.0,15.4,14.133,13.666,USA
Grace McCallum,14.3,13.7,13.666,13.5,USA
Jennifer Gadirova,14.433,0.0,13.3,13.7,GBR
Jessica Gadirova,14.433,13.566,0.0,13.833,GBR
Alice Kinsella,14.266,14.166,13.333,12.8,GBR
Amelie Morgan,0.0,14.033,12.233,0.0,GBR
Alice D'Amato,14.166,14.166,13.133,13.1,ITA
Asia D'Amato,14.266,13.9,12.9,13.166,ITA
Vanessa Ferrari,14.233,0.0,0.0,14.1,ITA
Martina Maggio,0.0,13.433,13.075,0.0,ITA
Hitomi Hatakeda,0.0,14.1,13.333,12.8,JPN
Yuna Hiraiwa,13.9,0.0,13.566,0.0,JPN
Mai Murakami,14.266,12.7,13.833,14.066,JPN
Aiko Sugihara,14.183,13.333,0.0,13.2,JPN
Marine Boyer,0.0,0.0,12.066,13.0,FRA
Mélanie de Jesus dos Santos,14.5,14.2,13.566,13.7,FRA
Aline Friess,14.9,13.733,0.0,0.0,FRA
Carolann Héduit,14.2,13.466,12.833,13.1,FRA
Lu Yufei,0.0,13.333,13.966,13.166,CHN
Ou Yushan,12.7,13.233,0.0,0.0,CHN
Tang Xijing,12.6,14.5,13.733,12.866,CHN
Zhang Jin,14.066,0.0,13.9,13.133,CHN
Maellyse Brassart,14.033,0.0,10.933,0.0,BEL
Nina Derwael,0.0,15.4,13.866,13.366,BEL
Lisa Vaelen,14.233,13.766,0.0,12.9,BEL
Jutta Verkest,13.466,12.466,12.2,13.066,BEL
