Name,vt,ub,bb,fx
Gabby Douglas,15.966,15.2,15.233,15.066
Jordyn Wieber,15.933,14.666,0,15
Aly Raisman,0,0,14.933,15.3
Kyla Ross,0,14.933,15.133,0
McKayla Maroney,16.233,0,0,0
Aliya Mustafina,15.233,15.7,14.533,14.8
Viktoria Komova,15.833,15.766,15.033,0
Ksenia Afanasyeva,0,0,14.833,14.333
Anastasia Grishina,0,14.7,0,12.466
Maria Paseka,15.3,0,0,0
Cătălina Ponor,15.1,0,15.416,14.8
Larisa Iordache,14.8,13.766,15.3,0
Diana Bulimar,0,14.066,14.533,14.7
Sandra Izbașa,15.1,0,0,15.2
Diana Chelaru,0,13.633,0,0
Huang Qiushuang,15.033,15.1,13.8,12.5
Deng Linlin,14.9,0,13.766,13.733
Sui Lu,0,0,15.366,14.6
Yao Jinnan,14.333,15.533,0,0
He Kexin,0,15.766,0,0
Ellie Black,15.233,0,14.266,14.208
Dominique Pegg,14.4,0,13.5,13.966
Brittany Rogers,14.866,14.466,0,0
Victoria Moors,0,13.7,0,14.6
Kristina Vaculik,0,14.166,13.433,0
Hannah Whelan,0,14,13.866,14.2
Jennifer Pinches,14.833,0,11.833,14.366
Beth Tweddle,0,15.833,0,14.166
Rebecca Tunney,14.866,14.766,0,0
Imogen Cairns,14.266,0,13.5,0
Vanessa Ferrari,14.333,14.166,14.8,13.566
Carlotta Ferlito,14.3,0,14.366,14.1
Erika Fasana,13.733,13.6,0,14.233
Giorgia Campana,0,13.9,0,0
Elisabetta Preziosa,0,0,12.833,0
Asuka Teramoto,14.7,14.2,14.233,13.9
Rie Tanaka,14.416,14.333,0,12.833
Kōko Tsurumi,13.766,14.466,0,0
Yuko Shintake,0,0,13.266,13.433
Yu Minobe,0,0,13.1,0
