sample	measure
1	99.8695854
1	100.2209847
1	99.73002246
1	100.0857438
1	100.1243077
2	101.9695865
2	101.7475159
2	101.4549063
2	101.8668113
2	101.4106963
3	98.71057924
3	98.18206223
3	99.07110222
3	97.91327212
3	98.40532665
4	97.42266481
4	97.1600981
4	97.5233862
4	97.17293186
4	96.67987687
5	98.43449773
5	98.78340884
5	98.39280778
5	97.9144313
5	98.79777433
6	99.43584393
6	100.186827
6	99.95227196
6	100.1868956
6	100.1992542
7	101.5579749
7	101.3116608
7	101.6031463
7	100.3707574
7	101.6759414
8	99.21025031
8	99.56719351
8	99.86813406
8	98.83135808
8	99.67938763
9	98.99298352
9	99.10328551
9	97.87226905
9	98.61619809
9	98.35784653
10	99.16117131
10	99.22757397
10	98.71756669
10	98.88396375
10	98.40644877
11	98.63989789
11	98.99021154
11	99.3311604
11	98.54123894
11	99.39962309
12	100.8795253
12	101.3661523
12	101.7519236
12	101.769489
12	101.1288547
13	101.3640792
13	100.9035308
13	101.211457
13	101.512983
13	101.6370417
14	99.35473412
14	98.92488067
14	99.259561
14	99.1769401
14	99.17007065
15	102.603959
15	102.6479748
15	102.4612633
15	101.9689586
15	101.2724262
16	98.36502217
16	98.9009969
16	98.26882153
16	98.83533562
16	98.75960635
17	100.740859
17	100.4446701
17	99.79544987
17	99.78244756
17	99.30842909
18	102.2882998
18	102.1021548
18	102.6392183
18	102.3896387
18	102.7210197
19	100.8301879
19	100.286294
19	100.1555946
19	100.0119338
19	100.412806
20	99.68378973
20	99.82203818
20	100.5459973
20	100.1989817
20	99.67424141
21	102.1072263
21	101.7631167
21	102.8533945
21	102.4690995
21	102.2987044
22	99.70779652
22	99.83510868
22	98.92650413
22	99.61334737
22	100.4743839
23	101.3728316
23	101.5813028
23	101.5372078
23	102.240897
23	101.9074615
24	98.79134826
24	98.84772721
24	98.76788776
24	98.8635549
24	99.49243416
25	97.93535789
25	97.89103293
25	97.39261061
25	97.98656583
25	98.37389133
