Gymnast,uneven_score,uneven_rank,bb_score,bb_rank,floor_score,floor_rank,vault1_score,vault2_score,vault_avg_score,vault_rank,total_score,total_rank
Rebeca Andrade,14.2,19.0,13.733,18.0,14.066,4.0,15.4,14.8,15.1,3,57.399,2
Jade Carey,14.133,20.0,12.866,41.0,14.1,3.0,15.166,15.166,15.166,2,56.265,9
MyKayla Skinner,13.666,31.0,13.233,27.0,13.566,14.0,14.933,14.8,14.866,4,55.398,11
Zsófia Kovács,14.433,14.0,13.133,29.0,12.666,48.0,14.5,0.0,0.0,0,54.732,16
Lee Yun-seo,14.333,16.0,12.841,42.0,12.966,30.0,13.4,0.0,0.0,0,53.54,29
Giulia Steingruber,12.8,53.0,12.6,47.0,13.3,23.0,14.833,14.3,14.566,10,53.533,30
Georgia Godwin,13.033,45.0,12.9,38.0,13.166,26.0,13.766,0.0,0.0,0,52.865,37
Elena Gerasimova,13.233,40.0,13.766,16.0,12.333,60.0,13.466,0.0,0.0,0,52.798,38
Filipa Martins,14.3,17.0,11.866,69.0,12.666,46.0,13.466,0.0,0.0,0,52.298,43
Emily Whitehead,13.066,43.0,12.666,45.0,12.566,52.0,14.0,0.0,0.0,0,52.298,44
Luciana Alvarado,12.741,55.0,12.966,37.0,12.166,66.0,13.433,0.0,0.0,0,51.306,51
Barbora Mokošová,13.333,38.0,11.7,72.0,12.833,37.0,13.333,0.0,0.0,0,51.199,52
Gabriela Sasnal,12.966,48.0,12.433,54.0,11.933,73.0,13.6,13.366,13.483,17,50.932,54
Alexa Moreno,12.566,59.0,11.066,83.0,12.333,60.0,14.833,14.433,14.633,8,50.798,55
Yeo Seo-jeong,12.5,61.0,10.583,87.0,12.566,54.0,15.0,14.6,14.8,5,50.649,56
Lihie Raz,11.7,70.0,12.066,64.0,12.4,59.0,14.233,13.566,13.899,15,50.399,59
Caitlin Rooskrantz,13.3,39.0,12.2,61.0,11.633,79.0,12.8,0.0,0.0,0,49.933,61
Diana Varinska,11.633,72.0,12.566,49.0,12.733,43.0,12.633,0.0,0.0,0,49.565,62
Zeina Ibrahim,12.5,60.0,11.866,70.0,11.7,78.0,13.2,0.0,0.0,0,49.266,64
Maria Holbură,11.1,80.0,12.7,43.0,12.2,65.0,13.166,0.0,0.0,0,49.166,65
Elisa Hämmerle,12.6,58.0,11.8,71.0,12.0,70.0,12.533,0.0,0.0,0,48.933,66
Mandy Mohamed,11.6,73.0,11.2,82.0,12.833,38.0,13.233,0.0,0.0,0,48.866,67
Farah Ann Abdul Hadi,11.6,74.0,11.566,76.0,12.233,64.0,13.166,0.0,0.0,0,48.565,68
Abigail Magistrati,11.533,79.0,11.233,81.0,12.133,67.0,13.366,0.0,0.0,0,48.265,69
Marina Nekrasova,10.833,83.0,12.266,58.0,12.0,71.0,13.133,12.2,12.666,19,48.232,70
Nazlı Savranbaşı,11.933,67.0,11.033,85.0,11.933,74.0,12.9,0.0,0.0,0,47.799,71
Megan Ryan,11.533,76.0,10.466,88.0,12.0,72.0,13.2,0.0,0.0,0,47.199,72
Aneta Holasová,11.533,77.0,11.933,68.0,11.1,80.0,12.566,0.0,0.0,0,47.132,73
Ariana Orrego,9.466,85.0,12.066,65.0,12.066,68.0,13.433,0.0,0.0,0,47.031,74
Simona Castro,11.533,78.0,11.433,79.0,10.233,85.0,13.2,0.0,0.0,0,46.399,75
Naveen Daries,12.366,62.0,8.933,90.0,11.766,77.0,13.3,12.666,12.983,18,46.365,76
Hanna Traukova,11.966,65.0,10.833,86.0,10.833,81.0,12.6,0.0,0.0,0,46.232,77
Milka Gehani,10.866,82.0,11.266,80.0,10.3,84.0,13.366,0.0,0.0,0,45.798,78
Pranati Nayak,9.033,86.0,9.433,89.0,10.633,83.0,13.466,0.0,0.0,0,42.565,79
Raegan Rutty,8.566,87.0,8.283,91.0,10.633,82.0,12.133,0.0,0.0,0,39.615,80
Flávia Saraiva,0.0,0.0,13.966,9.0,12.066,69.0,0.0,0.0,0.0,0,0.0,0
Lara Mori,0.0,0.0,12.133,62.0,13.4,19.0,0.0,0.0,0.0,0,0.0,0
Ting Hua-tien,12.233,63.0,12.566,50.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Ana Đerek,0.0,0.0,11.633,74.0,12.433,58.0,0.0,0.0,0.0,0,0.0,0
Tan Sze En,0.0,0.0,11.033,84.0,11.833,75.0,0.0,0.0,0.0,0,0.0,0
Anastasia Ilyankova,14.966,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Guan Chenchen,0.0,0.0,14.933,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Fan Yilin,14.6,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Jonna Adlerteg,14.533,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Oksana Chusovitina,0.0,0.0,0.0,0.0,0.0,0.0,14.5,13.833,14.166,14,0.0,0
Marcia Vidiaux,0.0,0.0,0.0,0.0,0.0,0.0,14.166,12.833,13.499,16,0.0,0
Larisa Iordache,0.0,0.0,14.133,4.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Urara Ashikawa,0.0,0.0,13.9,12.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Julie Erichsen,11.566,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Danusia Francis,3.033,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0
