Team,,,,,
United States,46.966,46.632,45.832,45.808,185.238
China,44.515,45.166,43.332,42.266,175.279
Russia,44.832,46.649,41.988,41.141,174.62
Great Britain,44.432,44.666,42.4,42.566,174.064
Brazil,45.299,43.357,43.599,41.799,174.054
Germany,43.333,45.699,42.499,41.732,173.263
Japan,44.466,44.1,41.699,42.299,172.564
Netherlands,43.132,43.866,43.732,41.199,171.929
Canada,44.732,43.499,41.565,41.965,171.761
Italy,43.366,42.266,40.332,43.432,169.396
France,42.299,43.099,42.399,40.899,168.696
Belgium,42.033,43.041,41.765,40.999,167.838
