Rank,Athlete,Nation,Meet,Score
1,Viktoria Listunova,Russia,Russian Championships AA,15.366
2,Kaylia Nemour,Algeria,Top 12 Finals,15.35
3,Qiu Qiyuan,China,Asian Championships AA,15.233
4,Alice D’Amato,Italy,2nd Italian Serie A,15.1
4,Ekaterina Andreeva*,Russia,Russian Junior Championships AA,15.1
6,Veranika Semenova*,Russia,Russian Junior Championships QF,15.033
7,Anastasia Iliankova,Russia,Russian Championships QF,14.9
8,Lyudmila Roshchina*,Russia,Russian Junior Championships QF,14.866
9,Zoe Miller,United States,DTB Pokal Team Challenge AA,14.85
10,Mélanie De Jesus Dos Santos,France,U.S. Classic,14.85
