Day	Hour	X1	X2	X3	X4	X5
1	1	1.04	1.043	1.041	1.047	1.04
1	2	1.043	1.041	1.04	1.045	1.043
1	3	1.042	1.042	1.041	1.04	1.05
1	4	1.04	1.043	1.043	1.04	1.041
1	5	1.042	1.036	1.036	1.036	1.041
1	6	1.042	1.043	1.042	1.036	1.04
1	7	1.041	1.033	1.045	1.045	1.038
1	8	1.042	1.044	1.039	1.041	1.038
2	1	1.04	1.045	1.042	1.042	1.043
2	2	1.042	1.038	1.044	1.038	1.042
2	3	1.036	1.036	1.038	1.045	1.042
2	4	1.043	1.043	1.043	1.045	1.036
2	5	1.042	1.046	1.042	1.046	1.043
2	6	1.042	1.045	1.037	1.038	1.043
2	7	1.042	1.047	1.046	1.043	1.042
2	8	1.037	1.033	1.036	1.039	1.044
3	1	1.044	1.036	1.041	1.046	1.039
3	2	1.035	1.04	1.042	1.042	1.041
3	3	1.041	1.043	1.038	1.042	1.042
3	4	1.038	1.041	1.046	1.036	1.039
3	5	1.043	1.041	1.045	1.038	1.041
3	6	1.04	1.046	1.041	1.039	1.041
3	7	1.043	1.037	1.041	1.045	1.031
3	8	1.043	1.045	1.038	1.043	1.042
4	1	1.038	1.045	1.036	1.038	1.041
4	2	1.034	1.042	1.037	1.039	1.043
