Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year
Municipality,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2003
size classes,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2003
size classes,New buildings,Conversion 1),"Demolition, fire etc.",Pure increase,2003
"more than 100,000 inhabitants",1934,-50,221,1663,2003
"10,001 - 100,000 inhabitants",9350,425,395,9380,2003
"5,001 - 10,000 inhabitants",6858,417,202,7073,2003
"2,001 - 5,000 inhabitants",7617,980,294,8303,2003
"2,000 inhabitants or fewer",6337,1165,216,7286,2003
Agglomerations of the five largest cities,11558,354,428,11484,2003
1) Negative values indicate a decrease caused by conversion,11558,354,428,11484,2003
