Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year
Municipality,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2002
size classes,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2002
size classes,New buildings,Conversion 1),"Demolition, fire etc.",Pure increase,2002
"more than 100,000 inhabitants",1527,-113,309,1105,2002
"10,001 - 100,000 inhabitants",7864,560,293,8131,2002
"5,001 - 10,000 inhabitants",6160,452,183,6429,2002
"2,001 - 5,000 inhabitants",7214,741,194,7761,2002
"2,000 inhabitants or fewer",5879,1129,111,6897,2002
Agglomerations of the five largest cities,10725,198,503,10420,2002
1) Negative values indicate a decrease caused by conversion,10725,198,503,10420,2002
