Rank,Athlete,Club,VT,UB,BB,FX,AA
1,Simone Biles,World Champions,14.65,14.2,14.35,14.45,57.65
2,Joscelyn Roberson,World Champions,14.25,12.9,13,14,54.15
3,Katelyn Jong,Metroplex,13.85,13.75,12.25,13.4,53.25
4,Tiana Sumanasekera,World Champions,14,12.45,13.6,13.2,53.25
5,Nola Matthews,Airborne,12.9,13.6,13.15,13.15,52.8
6,Jade Carey,Oregon State,13.6,13.6,11.75,13.45,52.4
7,Dulcy Caylor,World Champions,13.9,12.6,12.5,12.9,51.9
8,Zoe Miller,World Champions,13.9,14.55,11.1,12.05,51.6
9,Leanne Wong,U of Florida,13.6,12.85,12.6,12.45,51.5
10,Simone Rose,Pacific Reign,13.2,13.6,12.05,11.95,50.8
11,Elle Mueller,Twin City Twisters,13.3,13.8,12.75,5.3,45.15
12,Skye Blakely,WOGA,14.25,14.35,14.05,0,42.65
13,Addison Fatta,Prestige,14.05,0,13,12.85,39.9
14,Kieryn Finnell,Rochester,0,13.6,13.3,0,26.9
15,Alicia Zhou,Love Gymnastics,0,14,12.85,0,26.85
16,Madray Johnson,WOGA,13.4,0,13.05,0,26.45
17,Tyler Turner,Airborne,0,12.65,11.25,0,23.9
18,Lexi Zeiss,Twin City Twisters,0,13.5,0,0,13.5
19,Hezly Rivera,WOGA,0,0,13.35,0,13.35
20,Kayla DiCello,Hill’s,0,0,12.4,0,12.4
