Name,Date,Competition,Round,VT,UB,BB,FX,AA
Joscelyn Roberson,2021-11-15,U.S. Junior Pan Am Games Trials,EF,0.0,0.0,13.6,13.0,0.0
Joscelyn Roberson,2021-11-15,U.S. Junior Pan Am Games Trials,AA,14.15,11.7,13.65,11.9,51.4
Joscelyn Roberson,2021-06-03,U.S. Championships,AA,14.3,12.15,13.55,13.1,53.1
Joscelyn Roberson,2021-06-03,U.S. Championships,QF,14.35,10.6,13.25,13.1,51.3
Joscelyn Roberson,2021-05-21,U.S. Classic,AA,14.1,11.35,12.6,13.25,51.3
Joscelyn Roberson,2021-02-26,Winter Cup,AA,13.55,10.95,13.8,12.85,51.15
Joscelyn Roberson,2021-02-11,Brestyan’s National Qualifier,AA,13.2,11.45,13.2,12.9,50.75
Joscelyn Roberson,2021-01-21,Biles National Qualifier,AA,12.8,11.1,11.75,12.75,48.4
Joscelyn Roberson,2022-08-18,U.S. Championships,AA,13.8,11.2,11.95,12.95,49.9
Joscelyn Roberson,2022-08-18,U.S. Championships,QF,13.75,10.9,13.25,12.85,50.75
Joscelyn Roberson,2022-07-29,U.S. Classic,AA,14.0,10.55,12.3,12.7,49.55
Joscelyn Roberson,2022-07-04,U.S. Pan Ams Trials,EF,0.0,0.0,12.333,0.0,0.0
Joscelyn Roberson,2022-07-04,U.S. Pan Ams Trials,AA,13.35,10.95,10.55,12.45,47.3
Joscelyn Roberson,2022-03-31,March National Team Camp,AA,13.4,11.15,12.85,13.2,50.6
Joscelyn Roberson,2022-02-24,Winter Cup,AA,12.9,9.75,13.4,12.65,48.7
Joscelyn Roberson,2023-08-24,U.S. Championships,AA,14.55,11.8,13.2,13.6,53.15
Joscelyn Roberson,2023-08-24,U.S. Championships,QF,14.65,11.8,13.2,13.3,52.95
Joscelyn Roberson,2023-08-04,U.S. Classic,AA,14.65,11.1,14.3,14.0,54.05
Joscelyn Roberson,2023-07-09,July National Team Camp,AA,14.25,12.9,13.0,14.0,54.15
Joscelyn Roberson,2023-05-26,Pan American Championships,TF,13.8,0.0,13.733,14.067,0.0
Joscelyn Roberson,2023-05-26,Pan American Championships,AA,13.733,0.0,13.267,14.1,0.0
Joscelyn Roberson,2023-04-27,Cairo World Cup,EF,13.983*,0.0,13.233,13.7,0.0
Joscelyn Roberson,2023-04-27,Cairo World Cup,QF,14.016*,11.4,12.833,14.066,0.0
Joscelyn Roberson,2023-03-17,DTB Pokal Team Challenge,EF,14.083*,0.0,0.0,13.3,0.0
Joscelyn Roberson,2023-03-17,DTB Pokal Team Challenge,AA,14.2,13.0,12.5,14.15,53.85
Joscelyn Roberson,2023-02-23,Winter Cup,AA,14,10.85,13.3,13.55,51.7
