Name,Date,Competition,Round,VT,UB,BB,FX,AA
Jordan Chiles,2021-07-23,Olympic Games,TF,14.666,14.166,13.433,11.7,53.965
Jordan Chiles,2021-07-23,Olympic Games,QF,14.7,12.866,11.566,13.566,52.698
Jordan Chiles,2021-06-24,U.S. Olympic Trials,AA,14.933,14.433,13.9,14.233,57.499
Jordan Chiles,2021-06-24,U.S. Olympic Trials,QF,14.966,14.3,14.233,13.633,57.132
Jordan Chiles,2021-06-03,U.S. Championships,AA,14.9,14.6,14.05,14.0,57.55
Jordan Chiles,2021-06-03,U.S. Championships,QF,14.95,14.45,13.95,13.55,56.9
Jordan Chiles,2021-05-21,U.S. Classic,AA,14.95,14.15,14.05,13.95,57.1
Jordan Chiles,2021-02-26,Winter Cup,AA,14.9,14.05,14.5,13.6,57.05
Jordan Chiles,2021-02-06,WOGA Classic,AA,14.85,14.4,14.3,11.9,55.45
Jordan Chiles,2022-10-29,World Championships,EF,14.350*,0.0,0.0,13.833,0.0
Jordan Chiles,2022-10-29,World Championships,TF,14.4,14.1,13.333,14.0,55.833
Jordan Chiles,2022-10-29,World Championships,QF,14.466,14.066,11.366,14.1,53.998
Jordan Chiles,2022-10-21,U.S. Worlds Trials,EF,0,14.25,13.6,0.0,0.0
Jordan Chiles,2022-10-21,U.S. Worlds Trials,AA,14.2,14.35,13.3,14.25,56.1
Jordan Chiles,2022-09-24,Paris Challenge Cup,EF,14.025*,13.75,0.0,14.05,0.0
Jordan Chiles,2022-09-24,Paris Challenge Cup,QF,13.950*,13.4,0.0,13.5,0.0
Jordan Chiles,2022-08-18,U.S. Championships,AA,14.3,14.1,13.45,13.9,55.75
Jordan Chiles,2022-08-18,U.S. Championships,QF,14.35,14.25,13.6,13.95,56.15
Jordan Chiles,2023-08-24,U.S. Championships,AA,14.25,12.95,12.1,13.85,53.15
Jordan Chiles,2023-08-24,U.S. Championships,QF,14.3,14.2,13.0,13.1,54.6
Jordan Chiles,2023-08-04,U.S. Classic,AA,0.0,13.9,12.8,0.0,0.0
