Name,Date,Competition,Round,VT,UB,BB,FX,AA
Katelyn Jong,2021-11-25,Junior Pan American Games,EF,13.933,0.0,12.7,13.0,0.0
Katelyn Jong,2021-11-25,Junior Pan American Games,AA,14.35,13.1,12.45,13.35,53.25
Katelyn Jong,2021-11-15,U.S. Junior Pan Am Games Trials,EF,0.0,12.8,13.15,0.0,0.0
Katelyn Jong,2021-11-15,U.S. Junior Pan Am Games Trials,AA,14.3,13.6,13.25,13.25,54.4
Katelyn Jong,2021-06-18,Junior Pan American Championships,EF,13.784,13.567,12.034,0.0,0.0
Katelyn Jong,2021-06-18,Junior Pan American Championships,AA,14.6,13.55,12.55,13.4,54.1
Katelyn Jong,2021-06-03,U.S. Championships,AA,14.2,13.3,12.05,13.65,53.2
Katelyn Jong,2021-06-03,U.S. Championships,QF,14.15,13.2,13.15,13.5,54.0
Katelyn Jong,2021-05-21,U.S. Classic,AA,14.1,13.3,13.75,13.5,54.65
Katelyn Jong,2021-04-24,American Classic,AA,0.0,13.2,13.6,0.0,0.0
Katelyn Jong,2021-03-13,March National Team Camp,AA,14.35,12.25,11.6,13.1,51.3
Katelyn Jong,2021-02-26,Winter Cup,AA,14.3,11.5,11.4,12.55,49.75
Katelyn Jong,2021-02-06,WOGA Classic,AA,13.45,13.75,10.8,12.7,50.7
Katelyn Jong,2022-09-30,Szombathely Challenge Cup,EF,0.0,13.133,0.0,13.5,0.0
Katelyn Jong,2022-09-30,Szombathely Challenge Cup,QF,0.0,13.366,0.0,13.466,0.0
Katelyn Jong,2022-08-18,U.S. Championships,AA,13.85,12.7,13.35,13.0,52.9
Katelyn Jong,2022-08-18,U.S. Championships,QF,13.95,12.2,13.2,13.1,52.45
Katelyn Jong,2022-07-04,U.S. Pan Ams Trials,EF,0.0,13.3,12.033,0.0,0.0
Katelyn Jong,2022-07-04,U.S. Pan Ams Trials,AA,13.5,13.1,11.3,13.5,51.4
Katelyn Jong,2022-03-31,March National Team Camp,AA,14.0,11.45,0.0,0.0,0.0
Katelyn Jong,2022-03-20,DTB Pokal Mixed Cup,AA,14.35,0.0,11.7,13.25,0.0
Katelyn Jong,2022-02-24,Winter Cup,AA,13.8,12.75,13.05,13.05,52.65
Katelyn Jong,2023-08-24,U.S. Championships,AA,13.8,13.5,12.45,13.5,53.25
Katelyn Jong,2023-08-24,U.S. Championships,QF,13.85,14.05,11.85,13.15,52.9
Katelyn Jong,2023-08-04,U.S. Classic,AA,13.7,13.75,12.95,13.05,53.45
Katelyn Jong,2023-07-09,July National Team Camp,AA,13.85,13.75,12.25,13.4,53.25
Katelyn Jong,2023-04-30,Pan American Trials,AA,14.15,13.2,12.6,12.4,52.35
Katelyn Jong,2023-02-23,Winter Cup,AA,13.5,12.2,10.5,12.7,48.9
Katelyn Jong,2023-02-17,WOGA Classic,AA,13.25,14.0,12.5,12.25,52.0
