Name,Date,Competition,Round,VT,UB,BB,FX,AA
Leanne Wong,2021-10-18,World Championships,EF,0.0,0.0,13.333,13.833,0.0
Leanne Wong,2021-10-18,World Championships,AA,14.341,14.066,13.9,14.033,56.34
Leanne Wong,2021-10-18,World Championships,QF,14.366,13.683,13.7,14.0,55.749
Leanne Wong,2021-10-08,U.S. Worlds Trials,AA,14.25,12.25,13.1,13.8,53.4
Leanne Wong,2021-06-24,U.S. Olympic Trials,AA,14.7,13.8,14.0,14.233,56.733
Leanne Wong,2021-06-24,U.S. Olympic Trials,QF,14.7,13.666,11.5,13.933,53.799
Leanne Wong,2021-06-03,U.S. Championships,AA,14.55,14.0,12.7,13.6,54.85
Leanne Wong,2021-06-03,U.S. Championships,QF,14.75,12.7,13.65,14.2,55.3
Leanne Wong,2021-05-21,U.S. Classic,AA,14.2,11.9,14.45,13.55,54.1
Leanne Wong,2021-04-24,American Classic,AA,14.4,14.15,12.95,12.95,54.45
Leanne Wong,2021-03-13,March National Team Camp,AA,14.8,12.7,13.7,13.9,55.1
Leanne Wong,2022-10-29,World Championships,TF,0.0,13.766,0.0,0.0,0.0
Leanne Wong,2022-10-29,World Championships,QF,13.766,0.0,0.0,0.0,0.0
Leanne Wong,2022-10-21,U.S. Worlds Trials,EF,0.0,14.1,13.75,0.0,0.0
Leanne Wong,2022-10-21,U.S. Worlds Trials,AA,14.15,13.8,12.85,12.45,53.25
Leanne Wong,2022-08-18,U.S. Championships,AA,0.0,14.25,13.4,0.0,0.0
Leanne Wong,2022-08-18,U.S. Championships,QF,0.0,14.2,13.15,0.0,0.0
Leanne Wong,2022-07-29,U.S. Classic,AA,14.4,12.85,13.55,13.6,54.4
Leanne Wong,2023-08-24,U.S. Championships,AA,14.05,14.0,13.7,14.0,55.75
Leanne Wong,2023-08-24,U.S. Championships,QF,14.25,14.0,13.75,13.35,55.35
Leanne Wong,2023-08-04,U.S. Classic,AA,14.15,13.75,12.7,13.5,54.1
Leanne Wong,2023-07-09,July National Team Camp,AA,13.6,12.85,12.6,12.45,51.5
