Rank,Athlete,Nation,D,E,ND,Score
1,Larisa Iordache,Romania,6.4,8.6,,15
2,Diana Bulimar,Romania,5.7,8.5,,14.2
3,Ashly Lau,Singapore,5.8,8.35,,14.15
4,Mary-Anne Monckton,Australia,6.1,7.9,,14
5,Phan Thi Ha Thanh,Vietnam,6,7.55,,13.55
6,Dorina Böczögö,Hungary,5.6,8,-0.1,13.5
7,Zhanerke Duisek,Kazakhstan,5.8,7.5,,13.3
8,Kristyna Palesova,Czech Republic,5.2,7.7,,12.9
9,Courtney McGregor,New Zealand,5.8,7.2,-0.1,12.9
10,Nicole Hitz,Switzerland,5,7.8,,12.8
11,Janessa Dai,Singapore,5.1,7.55,,12.65
12,Teja Belak,Slovenia,4.8,7.75,,12.55
13,Anastasiya Yekimenka,Belarus,4.9,7.5,,12.4
14,Charlotte Sullivan,New Zealand,5.3,7,,12.3
15,Lauren Mitchell,Australia,5.7,6.45,,12.15
16,Jana Sikulova,Czech Republic,5,7.1,,12.1
17,Tjasa Kysselef,Slovenia,4.6,7.25,,11.85
18,Aida Bauyrzhanova,Kazakhstan,5.2,6.55,,11.75
19,Katsiaryna Fiadutsik,Belarus,4.8,6.6,,11.4
20,Isabela Onyshko,Canada,5.6,5.75,,11.35
21,Tünde Csillag,Hungary,4,7.2,,11.2
22,Laura Schulte,Switzerland,5.1,6.05,,11.15
23,Hiu Ying Angel Wong,Hong Kong,4.6,6.5,-0.1,11
24,Shaden Wohdan,Qatar,4.5,6.35,,10.85
25,Kamile Ahsen Göktekin,Turkey,4.8,5.95,,10.75
26,Demet Mutlu,Turkey,5.1,5.5,,10.6
27,Yuen Yin Ng,Hong Kong,3,6.8,,9.8
28,Elena Rega,Uzbekistan,4.9,5,-0.1,9.8
29,Ahlam Al Habshi,Qatar,2.9,4.7,,7.6
