Personal Financial Analysis,,,,,,,,,,,,,,,,,,,,,,,,,
Your Name Here…,,,,,,,,,,,,,,,,,,,,,,,,,
The Date Here…,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
401K Retirement Plan,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Starting Salary:,,"$100,000", this is your starting salary,,,,,,,,,,,,,,,,,,,,,,
Your Contribution per month:,,8.0%, this is a pre-tax contribution as a % of your salary,,,,,,,,,,,,,,,,,,,,,,
Company Match of Your Contribution:,,4.0%, this is your company's matching contribution (as a % of your salary),,,,,,,,,,,,,,,,,,,,,,
Annual Salary Increase:,,3.0%, this is how much your salary grows each year,,,,,,,,,,,,,,,,,,,,,,
Anticipated Annual Rate of Return:,,8.0%, this is your expected annual rate of return,,,,,,,,,,,,,,,,,,,,,,
Portfolio Value Today:,,"$25,000", this is what you have in your retirement fund today,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,PLAN,,,,,,,,,,,,,,,,,,,
,Beginning Year Salary,Monthly Personal,Monthly Company,EOY Value from ,EOY Value,EOY Value,,,,,,,,,,,,,,,,,,,
Year,($/year),Contribution,Contribution,Monthly Contributions,from Previous Year,of Total Portfolio,,,,,,,,,,,,,,,,,,,
1,"$100,000",$667,$333,"$12,450",$0,"$12,450",,,,,,,,,,,,,,,,,,,
2,"$103,000",$687,$343,"$12,823","$13,446",#REF!,,,,,,,,,,,,,,,,,,,
3,"$106,090",$707,$354,"$13,208",#REF!,#REF!,,,,,,,,,,,,,,,,,,,
4,"$109,273",$728,$364,"$13,604",#REF!,#REF!,,,,,,,,,,,,,,,,,,,
5,"$112,551",$750,$375,"$14,013",#REF!,#REF!,,,,,,,,,,,,,,,,,,,
6,"$115,927",$773,$386,"$14,433",#REF!,#REF!,,,,,,,,,,,,,,,,,,,
7,"$119,405",$796,$398,"$14,866",#REF!,#REF!,,,,,,,,,,,,,,,,,,,
8,"$122,987",$820,$410,"$15,312",#REF!,#REF!,,,,,,,,,,,,,,,,,,,
9,"$126,677",$845,$422,"$15,771",#REF!,#REF!,,,,,,,,,,,,,,,,,,,
10,"$130,477",$870,$435,"$16,244",#REF!,#REF!,,,,,,,,,,,,,,,,,,,
