Date,Competition,,VT,UB,BB,FX,AA
Aug 24-27,U.S. Championships,AA,13.2,14.05,12.45,13.2,52.9
Aug 24-27,U.S. Championships,QF,13.15,12.4,13,13.4,51.95
Aug 4-6,U.S. Classic,AA,13.05,13.9,13.3,13.3,53.55
Jul 9-12,July National Team Camp,AA,12.9,13.6,13.15,13.15,52.8
May 26-28,Pan American Championships,TF,0,14.067,0,13.1,0
May 26-28,Pan American Championships,AA,12.9,14,12.7,12.667,52.267
30-Apr,Pan American Trials,AA,13.3,14.05,13.5,13.35,54.2
19-Mar,DTB Pokal Mixed Cup,AA,0,12.366,13.066,0,0
Mar 17-19,DTB Pokal Team Challenge,AA,13.1,13.65,13.2,12.9,52.85
Feb 23-26,Winter Cup,AA,13.25,13.45,12.7,13.2,52.6
Feb 17-19,WOGA Classic,AA,13.25,13.35,12.1,13.1,51.8
Jan 27-29,Vegas Cup National Qualifier,AA,0,12.45,12.7,12.8,0
