Rank,Athlete,Nation,D,E,ND,Total
1,Nina Derwael,Belgium,5.3,8.3,,13.6
2,Lorette Charpy,France,5.5,7.9,,13.4
3,Angelina Melnikova,Russia,5.1,8.033,,13.133
4,Denisa Golgota,Romania,5,7.966,,12.966
5,Diana Varinska,Ukraine,5.2,7.733,,12.933
6,Georgia-Mae Fenton,Great Britain,5.2,7.7,,12.9
7,Anastasiia Bachynska,Ukraine,5.7,7.1,,12.8
8,Adela Sajn,Slovenia,5.1,7.533,,12.633
9,Angelina Radivilova,Ukraine,5.5,7,,12.5
10,Aneta Holasova,Czech Republic,5,7.333,,12.333
11,Anastasiya Alistratava,Belarus,5.2,7.033,,12.233
12,Aline Friess,France,4.8,7.4,,12.2
13,Filipa Martins,Portugal,5,7.2,,12.2
14,Dominika Ponizilova,Czech Republic,4.3,7.866,,12.166
15,Gabriela Janik,Poland,4.7,7.4,,12.1
16,Cintia Rodriguez,Spain,4.9,7.166,,12.066
17,Marina Nekrasova,Azerbaijan,5.3,6.666,,11.966
18,Jessica Castles,Sweden,5,6.833,,11.833
18,Elvira Katsali,Greece,5,6.833,,11.833
20,Emma Slevin,Ireland,5,6.733,,11.733
21,Becky Downie,Great Britain,4.5,7.166,,11.666
22,Senna Deriks,Belgium,4.9,6.6,,11.5
23,Elina Vihrova,Latvia,5.2,6.3,,11.5
24,Aleksandra Shchekoldina,Russia,5.2,6.266,,11.466
25,Chiara Bunce,Slovakia,4.8,6.6,,11.4
26,Naomi Visser,Netherlands,5.1,6.3,,11.4
27,Tjasa Kysselef,Slovenia,3.9,7.266,,11.166
28,Nazli Savranbasi,Turkey,4.6,6.4,,11
29,Bianka Schermann,Hungary,5.1,5.9,,11
30,Carolann Heduit,France,4.9,6.033,,10.933
31,Celeste Mordenti,Luxembourg,4,6.866,,10.866
32,Agnes Suto-Tuuha,Iceland,3.8,7,,10.8
33,Ganna Metelitsa,Belarus,4.9,5.8,,10.7
34,Bianca Frysak,Austria,4.8,5.766,,10.566
35,Zoja Szekely,Hungary,4.8,5.6,,10.4
36,Laney Madsen,Bulgaria,4.9,5.366,,10.266
37,Ofir Netzer,Israel,4.3,5,,9.3
38,Laura de Witt,Netherlands,4.9,3.9,,8.8
