Rank,Gymnast,vt,ub,bb,fx,Total
1,Simone Biles(USA),15.833,14.9,14.4,15.266,60.399
2,Gabby Douglas(USA),15.3,15.033,14.4,14.583,59.316
3,Larisa Iordache(ROU),15.066,14.8,14.766,14.475,59.107
4,Shang Chunsong(CHN),13.866,15.166,14.7,14.533,58.265
5,Giulia Steingruber(SUI),15.6,13.9,13.333,14.5,57.333
6,Mai Murakami(JPN),14.966,13.8,14.033,14.333,57.132
7,Ellie Black(CAN),15.033,14,13.3,14.425,56.758
8,Laura Jurca(ROU),15.133,13.733,13.966,13.9,56.732
9,Asuka Teramoto(JPN),15.166,14.366,13.233,13.366,56.131
10,Elisabeth Seitz(GER),14.133,15.233,13.433,12.966,55.765
11,Wang Yan(CHN),14.875,13.566,13.8,13.5,55.741
12,Carlotta Ferlito(ITA),14.066,13.6,14.441,13.633,55.74
13,Lieke Wevers(NED),13.733,14.333,14.2,13.366,55.632
14,Tea Ugrin(ITA),14.066,14,13.766,13.733,55.565
15,Seda Tutkhalyan(RUS),14.866,14.3,12.7,13.566,55.432
16,Isabela Onyshko(CAN),14.233,14.4,13.066,13.633,55.332
17,Lisa Verschueren(BEL),14.133,13.9,13.6,13.666,55.299
18,Lorrane Oliveira(BRA),15.166,13.733,12.966,13.166,55.031
19,Pauline Schäfer(GER),14.633,13.433,13.133,13.766,54.965
19,Rune Hermans(BEL),14.033,13.466,13.866,13.6,54.965
21,Noémi Makra(HUN),13.933,14.266,12.833,13.833,54.865
22,Ruby Harrold(GBR),14.633,14.533,12.433,13.1,54.699
23,Amy Tinkler(GBR),14.866,13.033,12.233,13.966,54.098
24,Flávia Saraiva(BRA),14.233,13.7,12.266,13.033,53.232
